Id	Desc	RandType	ProLimit	MiniLevel	MaxLevel	Weight	MisID
INT	STRING	INT	INT	INT	INT	INT	INT
#MAX_ID=10240;MAX_RECORD=10241;TableType=Index;							
#ID(索引不可跳跃)	策划维护	随机类型（环数）	职业限制	任务最小可接等级	任务最大可接等级	刷新权重	任务ID
0	节日环-寻人第一环-找城主了解春节	0	-1	25	251	30	3034
1	节日环-寻人第一环-找城主了解春节	0	-1	25	251	30	3035
2	节日环-寻人第一环-找城主了解春节	0	-1	25	251	30	3036
3	节日环-寻人第二环-问候小环	1	-1	25	251	50	3037
4	节日环-寻人第二环-问候如花	1	-1	25	251	50	3038
5	节日环-杀怪第三环-教训炼血堂弟子	2	-1	25	251	50	3039
6	节日环-杀怪第三环-教训流寇	2	-1	25	251	50	3040
7	节日环-寻物第四环-购买糖葫芦	3	-1	25	251	50	3041
8	节日环-寻物第四环-购买陈年老酒	3	-1	25	251	50	3042
9	节日环-寻人第五环-拜访常百草	4	-1	25	251	100	3043
10	节日环-杀怪第六环-抢回牛肉	5	-1	25	251	100	3044
11	节日环-采集第七环-取来桂圆	6	-1	25	251	100	3045
12	节日环-寻人第八环-宴请慕容蝶	7	-1	25	251	100	3046
13	节日环-采集第九环-新春祈福	8	-1	25	251	50	3047
14	节日环-采集第九环-新春祈福	8	-1	25	251	50	3048
15	节日环-放烟花第十环-节日烟花	9	-1	25	251	100	3052
