Id	Description	DstSceneID	X	Z	TargetName	TargetJob	Color
INT	STRING	INT	FLOAT	FLOAT	STRING	INT	STRING
#预留							
#本行程序不读 自动寻路ID，目前作为场景ID索引	描述（程序不读）	目标场景ID	坐标X	坐标Z	目标名称	(0-NPC 1-怪物)	"颜色(显示的颜色，采用RGB表示,三种颜色各占两个16进制位FF)"
5	前往青云山	5	76.1	120.79	前往青云山	0	FFFF69
	前往空桑山	5	2.05	67.41	前往空桑山	0	FFFF69
	前往大王村	5	82.8	57.38	前往大王村	0	FFFF69
	前往焚香谷	5	66	116.91	前往焚香谷	0	FFFF69
	飞天仙子	5	43.1	114.71	飞天仙子<传送>	0	FFFF69
	环任务发布人	5	79.53	57.02	任联环<环任务>	0	FFFF69
	仓库	5	29.08	90.5	金铃音<仓库>	0	FFFF69
	摆摊商人	5	36.03	124.67	摆摊商人<摆摊>	0	FFFF69
	文曲星	5	61.2	91.05	文曲星<文曲试炼>	0	FFFF69
	陶丹青	5	56.21	109.06	陶丹青<寻师觅徒任务>	0	FFFF69
	陶翰墨	5	56.21	106.12	陶翰墨<尊师爱徒任务>	0	FFFF69
	陶弈	5	62.77	97.52	陶弈<师徒玩法>	0	FFFF69
	月老	5	43.94	102.45	月老<结婚>	0	FFFF69
	慕容蝶	5	50.07	109.22	慕容蝶<婚礼>	0	FFFF69
	殇璃别	5	31	116	殇璃别<离婚>	0	FFFF69
	云游医师1	5	84	74	柳申仪<郎中>	0	FFFF69
	云游医师2	5	5	60	花申仪<郎中>	0	FFFF69
	小贩	5	59.07	73.74	货郎<杂货>	0	FFFF69
	仙儿	5	38.11	108.93	仙儿<活动>	0	FFFF69
	申天斗	5	19.15	33.64	申天斗<单挑>	0	FFFF69
	擂台	5	15.32	37.28	擂台<多人竞技>	0	FFFF69
	常百草	5	38.75	91.06	常百草<玩家互助>	0	FFFF69
	郝热闹	5	68	77	郝热闹<节日环>	0	FFFF69
	周一仙	5	21.24	66.45	周一仙	0	FFFF69
	小环	5	21.26	67.75	小环	0	FFFF69
	如花	5	39.83	49.85	如花	0	FFFF69
	青云弟子	5	8.54	114.7	青云弟子	0	FFFF69
	神秘人	5	7.07	117.81	神秘人	0	FFFF69
	何叔	5	11.32	118.55	何叔	0	FFFF69
	小二	5	11.89	104.06	小二	0	FFFF69
	王二叔	5	23.71	7.72	王二叔	0	FFFF69
	常箭	5	18.6	48.89	常箭	0	FFFF69
	法善	5	18.64	46.9	法善	0	FFFF69
	燕回	5	12.36	48.89	燕回	0	FFFF69
	赵绯燕	5	12.32	46.85	赵绯燕	0	FFFF69
	武器师	5	82.46	94.26	毕纬天	0	FFFF69
	万云天	5	43.09	126.36	万云天	0	FFFF69
	贺三爷	5	21.06	37.84	贺三爷	0	FFFF69
	赌坊赌徒	5	21.05	84.91	苟富贵	0	FFFF69
	乞丐	5	11.58	90.83	乞丐	0	FFFF69
	裁缝	5	67.83	88.86	任予璇	0	FFFF69
	书生	5	75.16	58.61	吕文才<夫妻副本>	0	FFFF69
	老太	5	61.54	75.38	老太	0	FFFF69
	卫兵	5	2.49	64.86	卫兵	0	FFFF69
	采玉	5	32.15	102.08	采玉	0	FFFF69
	逃兵	5	124.16	43	逃兵（6级）	1	E60012
	怨灵	5	49.46	8.97	怨灵（7级）	1	E60012
	发狂野猪	5	81.74	15.8	发狂野猪（8级）	1	E60012
	土匪	5	110.3	69.99	土匪（10级）	1	E60012
	萌猴	5	70	108	稀有萌猴（宠）	1	E60012
12	前往狐岐山	12	62.47	16.9	前往狐岐山	0	FFFF69
	飞天仙子	12	58	7	飞天仙子<传送>	0	FFFF69
	环任务发布人	12	21.54	57.75	任联环<环任务>	0	FFFF69
	三妙夫人	12	107.96	65.63	三妙夫人	0	FFFF69
	兰鸾儿	12	16.5	45.17	兰鸾儿	0	FFFF69
	春君同	12	84.75	65.46	春君同	0	FFFF69
	夏雨雪	12	39.79	17.8	夏雨雪	0	FFFF69
	秋沐阳	12	89.56	32.39	秋沐阳	0	FFFF69
	冬沧海	12	40.3	109.07	冬沧海	0	FFFF69
	赵绯燕	12	36	107	赵绯燕	0	FFFF69
	祁莫风	12	40.65	88.35	祁莫风	0	FFFF69
	苏柔	12	103.1	83.94	苏柔	0	FFFF69
	欢喜婆婆	12	101.2	118.17	欢喜婆婆	0	FFFF69
	天音寺-观嗔	12	16.07	10.27	天音寺-观嗔	0	FFFF69
	灵猴	12	3	59.7	灵猴（12级）	1	E60012
	影宗弟子	12	83.71	47.88	影宗弟子（15级）	1	E60012
	恶僧	12	28.58	11.04	恶僧（18级）	1	E60012
	花魅	12	116.42	112.26	花魅（20级）	1	E60012
	魅宗弟子	12	63.93	83.64	魅宗弟子（25级）	1	E60012
	山猪	12	4	81	山猪（狩猎）	1	E60012
	萌猴	12	5	68	萌猴（宠）	1	E60012
11	前往逍遥涧	11	5.3	56.8	前往逍遥涧	0	FFFF69
	前往大王村	11	121.98	43.3	前往大王村	0	FFFF69
	前往狐岐山地宫	11	102.69	10.67	前往狐岐山地宫	0	FFFF69
	飞天仙子	11	42	77	飞天仙子<传送>	0	FFFF69
	环任务发布人	11	33.02	74.75	任联环<环任务>	0	FFFF69
	合欢派-影	11	9.5	83.68	合欢派-影	0	FFFF69
	鬼王	11	81.8	67.4	鬼王	0	FFFF69
	青龙	11	53.6	80.05	青龙	0	FFFF69
	朱雀	11	53.63	55.46	朱雀	0	FFFF69
	白虎	11	85.43	121.41	白虎	0	FFFF69
	玄武	11	115.83	56.28	玄武	0	FFFF69
	鬼厉	11	75.72	6.78	鬼厉	0	FFFF69
	碧瑶	11	97.99	9.09	碧瑶	0	FFFF69
	鬼先生	11	26.93	120.52	鬼先生	0	FFFF69
	凌烟	11	38.31	52.69	凌烟	0	FFFF69
	燕回	11	21.73	24.38	燕回	0	FFFF69
	杀生和尚	11	13.55	9.71	杀生和尚	0	FFFF69
	萧肃	11	28.92	8.17	萧肃	0	FFFF69
	山贼	11	18.87	74.99	贼寇（12级）	1	E60012
	灵狐	11	82.79	40.2	灵狐（15级）	1	E60012
	分堂弟子	11	31.47	21.83	分堂弟子（20级）	1	E60012
	总堂弟子	11	73.6	84.85	总堂弟子（25级）	1	E60012
	山猪	11	38	77	山猪（狩猎）	1	E60012
	萌猴	11	81	104	萌猴（宠）	1	E60012
10	前往青云山	10	123.79	16.2	前往青云山	0	FFFF69
	飞天仙子	10	98	10	飞天仙子<传送>	0	FFFF69
	环任务发布人	10	41.1	31.5	任联环<环任务>	0	FFFF69
	何老伯	10	99.23	3.62	何老伯	0	FFFF69
	法明	10	56.97	24.56	法明	0	FFFF69
	法相	10	58.08	53	法相	0	FFFF69
	法善	10	90.74	64.95	法善	0	FFFF69
	普泓上人	10	58.35	123.23	普泓上人	0	FFFF69
	普方	10	110.28	57.56	普方	0	FFFF69
	普德	10	117.78	99.45	普德	0	FFFF69
	道玉	10	9.9	21.82	道玉	0	FFFF69
	道衍	10	5.3	79.95	道衍	0	FFFF69
	观棋	10	76.97	43.28	观棋	0	FFFF69
	香客-吴伯	10	77.1	53.58	香客-吴伯	0	FFFF69
	香客-孙婆婆	10	86.36	77.63	香客-孙婆婆	0	FFFF69
	香客-曹叔	10	75.27	74.31	香客-曹叔	0	FFFF69
	红云僧	10	94.93	9.54	红云僧（12级）	1	E60012
	神火教弟子	10	97.02	93.88	神火教弟子（15级）	1	E60012
