Id	Desc	Name	IsNeedBind	CanLeaderWalk	LeaderStartAnimID	MemberStartAnimID	LeaderIdleAnimID	MemberIdleAnimID	LeaderWalkAnimID	MemberWalkAnimID	Duration	MoveSpeed	HideMemberWeapon	HideMemberTalisman	HideHeadInfo	BuffID	RotationType	StartDist	IsDiffSex	SexLimit
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	FLOAT	INT	INT
#MAX_ID=4096;MAX_RECORD=4096;TableType=Hash;																				
#角色ID	描述（程序不读）	名字	是否需要绑定	队长是否可以行走	发起者起始动画	成员起始动画	发起者站立动画	成员站立动画	发起者行走动画	成员行走动画	持续时间，无时间限制填0	行走速度	是否隐藏成员武器（只对绑定动作有效）	是否隐藏成员法宝（只对绑定动作有效）	是否隐藏成员名字板		旋转类型(0-相对 1-同向) 对非绑定类型生效	动作开始时的距离 对非绑定类型生效	是否需要不同性别 1 需要 0 不需要	性别限制 0-无限制 1-男男 2-男女 3-女男 4-女女
0	剧情-男抱受伤女	抱起	1	1	13	14	9	10	11	12	0	1.5	1	0	1	-1	0	0	0	0
1	交互动作-抱起	抱起	1	1	7	8	9	10	11	12	0	1.5	1	1	1	-1	0	0	0	0
2	剧情-女搀受伤女	搀扶	1	1	33	34	35	36	37	38	0	1	1	0	1	-1	0	0	0	0
3	打坐	打坐	0	0	283	267	281	268	281	268	0	0	0	0	0	390000	0	0.8	0	0
4	亲吻	亲吻	0	0	282	270	270	270	270	270	4	0	0	0	0	-1	0	0.45	1	0
5	壁咚	壁咚	0	0	402	404	403	405	403	405	0	0	0	0	0	-1	0	0.6	0	0
6	大嘴巴子-男男	掌嘴	0	0	399	401	401	401	401	401	3	0	0	0	0	-1	0	0.6	0	1
7	大嘴巴子-男女	掌嘴	0	0	400	401	401	401	401	401	3	0	0	0	0	-1	0	0.6	0	2
8	大嘴巴子-女男	掌嘴	0	0	399	401	401	401	401	401	3	0	0	0	0	-1	0	0.6	0	3
9	大嘴巴子-女女	掌嘴	0	0	400	401	401	401	401	401	3	0	0	0	0	-1	0	0.6	0	4
10	依偎	依偎	0	0	357	357	358	358	358	358	0	0	0	0	0	-1	0	0.45	1	0
11	摸头-男男	摸头	0	0	391	395	395	395	395	395	5	0	0	0	0	-1	0	0.6	0	1
12	摸头-男女	摸头	0	0	392	396	396	396	396	396	5	0	0	0	0	-1	0	0.6	0	2
13	摸头-女男	摸头	0	0	393	397	397	397	397	397	5	0	0	0	0	-1	0	0.6	0	3
14	摸头-女女	摸头	0	0	394	398	398	398	398	398	5	0	0	0	0	-1	0	0.6	0	4
15	抱大腿	抱大腿	0	0	515	517	516	518	516	518	0	0	0	0	0	-1	0	0.8	0	0
16	跳舞	跳舞	0	0	532	533	532	533	532	533	0	0	0	0	0	-1	0	0.5	1	0
