Id	Name	Name	Title	ResPath	CommonAnimPath	AnimPath	HeadPic	HalfFakeOjbID	HeadInfoHeight	DamageBoardHeight	Scale	DeadSound01	DeadSound02	DeadSound03	DeadEffectId	SpecialStandAnimId	SpecialRunAnimId	SpecialDeadAnimId	AttackSoundRate	AttcackSoundId	HitSoundRate	HitSoundId	ModelType	EffectScale	OffsetX	OffsetY	OffsetZ	ColliderRadius	ColliderHeight	NpcAttack1SoundId	NpcAttack2SoundId
INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	FLOAT	FLOAT	FLOAT	SHORT	SHORT	SHORT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT
#MAX_ID=4096;MAX_RECORD=4096;TableType=Hash;																															
#角色ID	描述（程序不读）	名称	称号	资源路径	通用动作路径，这里读不到才去读后面一列	动作路径	头像	对话半身像FakeObjID	头顶信息板高度修正	伤害板高度修正	缩放比例	死亡音效1	死亡音效2	死亡音效3	死亡特效ID	特殊待机(战立动作)动作ID(无则填-1)	特殊走动动作ID(无则填-1)	特殊死亡动作ID(无则填-1)	攻击附加额外音效播放的权重（100 表示100%）	攻击附加额外音效ID	受击音效播放权重（100 表示100%）	受击音效ID	骨骼模型类别(-1无类型(聚宝盆 棋子一类无骨骼的) 1人形（男） 2 人形（女） 3四足兽形 4九幽冥蛇 5蝙蝠	模型身上的特效缩放比	x轴偏移	y轴偏移	z轴偏移	碰撞体半径	碰撞体高度	怪物普攻1音效	怪物普攻2音效
0	青云男	主角：青云	主角	Zy_qingyunnan_001		Animation/Player/Man/Qingyun	head-shaolin	44	1.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
1	青云女	主角：青云	主角	Zy_qingyunnv_001		Animation/Player/Woman/Qingyun	head-shaolin	45	1.6	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	2	-1	0	0	0	0.5	3	-1	-1
2	鬼王男	主角：鬼王	主角	Zy_guiwangnan_001		Animation/Player/Man/Guiwang	TianShanHead	48	1.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
3	鬼王女	主角：鬼王	主角	Zy_guiwangnv_001		Animation/Player/Woman/Guiwang	TianShanHead	49	1.6	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	2	-1	0	0	0	0.5	3	-1	-1
4	天音男	主角：天音	主角	Zy_tianyinnan_001		Animation/Player/Man/Tianyin	DaLiHead	46	1.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
5	天音女	主角：天音	主角	Zy_tianyinnv_001		Animation/Player/Woman/Tianyin	DaLiHead	47	1.6	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	2	-1	0	0	0	0.5	3	-1	-1
6	合欢男	主角：合欢	主角	Zy_hehuannan_001		Animation/Player/Man/Hehuan	head-xiaoyao	50	1.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
