Id	Description	DayCard1_ItemId	DayCard1_ItemCount	DayCard2_ItemId	DayCard2_ItemCount	DayCard3_ItemId	DayCard3_ItemCount
INT	STRING	INT	INT	INT	INT	INT	INT
#MAX_ID=4096;MAX_RECORD=4096;TableType=Hash;							
#角色等级	描述（程序不读）	1档物品ID	1档物品数量	2档物品ID	2档物品数量	3档物品ID	3档物品数量
1	日卡奖励	28195	1	28177	1	28183	1
2	日卡奖励	28195	1	28177	1	28183	1
3	日卡奖励	28195	1	28177	1	28183	1
4	日卡奖励	28195	1	28177	1	28183	1
5	日卡奖励	28195	1	28177	1	28183	1
6	日卡奖励	28195	1	28177	1	28183	1
7	日卡奖励	28195	1	28177	1	28183	1
8	日卡奖励	28195	1	28177	1	28183	1
9	日卡奖励	28195	1	28177	1	28183	1
10	日卡奖励	28195	1	28177	1	28183	1
11	日卡奖励	28195	1	28177	1	28183	1
12	日卡奖励	28195	1	28177	1	28183	1
13	日卡奖励	28195	1	28177	1	28183	1
14	日卡奖励	28195	1	28177	1	28183	1
15	日卡奖励	28195	1	28177	1	28183	1
16	日卡奖励	28195	1	28177	1	28183	1
17	日卡奖励	28195	1	28177	1	28183	1
18	日卡奖励	28195	1	28177	1	28183	1
19	日卡奖励	28195	1	28177	1	28183	1
20	日卡奖励	28195	1	28177	1	28183	1
21	日卡奖励	28195	1	28177	1	28183	1
22	日卡奖励	28195	1	28177	1	28183	1
23	日卡奖励	28195	1	28177	1	28183	1
24	日卡奖励	28195	1	28177	1	28183	1
25	日卡奖励	28195	1	28177	1	28183	1
26	日卡奖励	28195	1	28177	1	28183	1
27	日卡奖励	28195	1	28177	1	28183	1
28	日卡奖励	28195	1	28177	1	28183	1
29	日卡奖励	28195	1	28177	1	28183	1
30	日卡奖励	28195	1	28177	1	28183	1
31	日卡奖励	28195	1	28177	1	28183	1
32	日卡奖励	28195	1	28177	1	28183	1
33	日卡奖励	28195	1	28177	1	28183	1
34	日卡奖励	28195	1	28177	1	28183	1
35	日卡奖励	28195	1	28177	1	28183	1
36	日卡奖励	28195	1	28177	1	28183	1
37	日卡奖励	28195	1	28177	1	28183	1
38	日卡奖励	28195	1	28177	1	28183	1
39	日卡奖励	28195	1	28177	1	28183	1
40	日卡奖励	28195	1	28177	1	28183	1
41	日卡奖励	28195	1	5004	1	3342	15
42	日卡奖励	28195	1	5004	1	3342	15
43	日卡奖励	28195	1	5004	1	3342	15
44	日卡奖励	28195	1	5004	1	3342	15
45	日卡奖励	28195	1	5004	1	3342	15
46	日卡奖励	28195	1	5004	1	3342	15
47	日卡奖励	28195	1	5004	1	3342	15
48	日卡奖励	28195	1	5004	1	3342	15
49	日卡奖励	28195	1	5004	1	3342	15
50	日卡奖励	28195	1	5004	1	3342	15
51	日卡奖励	28195	1	5004	1	3342	15
52	日卡奖励	28195	1	5004	1	3342	15
53	日卡奖励	28195	1	5004	1	3342	15
54	日卡奖励	28195	1	5004	1	3342	15
55	日卡奖励	28195	1	5004	1	3342	15
56	日卡奖励	28195	1	5004	1	3342	15
57	日卡奖励	28195	1	5004	1	3342	15
58	日卡奖励	28195	1	5004	1	3342	15
59	日卡奖励	28195	1	5004	1	3342	15
60	日卡奖励	28195	1	5004	1	3342	15
61	日卡奖励	28195	1	28178	1	28184	1
62	日卡奖励	28195	1	28178	1	28184	1
63	日卡奖励	28195	1	28178	1	28184	1
64	日卡奖励	28195	1	28178	1	28184	1
65	日卡奖励	28195	1	28178	1	28184	1
66	日卡奖励	28195	1	28178	1	28184	1
67	日卡奖励	28195	1	28178	1	28184	1
68	日卡奖励	28195	1	28178	1	28184	1
69	日卡奖励	28195	1	28178	1	28184	1
70	日卡奖励	28195	1	28178	1	28184	1
71	日卡奖励	28191	1	28179	1	28004	15
72	日卡奖励	28191	1	28179	1	28004	15
73	日卡奖励	28191	1	28179	1	28004	15
74	日卡奖励	28191	1	28179	1	28004	15
75	日卡奖励	28191	1	28179	1	28004	15
76	日卡奖励	28191	1	28179	1	28004	15
77	日卡奖励	28191	1	28179	1	28004	15
78	日卡奖励	28191	1	28179	1	28004	15
79	日卡奖励	28191	1	28179	1	28004	15
80	日卡奖励	28191	1	28179	1	28004	15
81	日卡奖励	28191	1	28179	1	28004	15
82	日卡奖励	28191	1	28179	1	28004	15
83	日卡奖励	28191	1	28179	1	28004	15
84	日卡奖励	28191	1	28179	1	28004	15
85	日卡奖励	28191	1	28179	1	28004	15
86	日卡奖励	28191	1	28179	1	28004	15
87	日卡奖励	28191	1	28179	1	28004	15
88	日卡奖励	28191	1	28179	1	28004	15
89	日卡奖励	28191	1	28179	1	28004	15
90	日卡奖励	28191	1	28179	1	28004	15
91	日卡奖励	28192	1	28180	1	28185	1
92	日卡奖励	28192	1	28180	1	28185	1
93	日卡奖励	28192	1	28180	1	28185	1
94	日卡奖励	28192	1	28180	1	28185	1
95	日卡奖励	28192	1	28180	1	28185	1
96	日卡奖励	28192	1	28180	1	28185	1
97	日卡奖励	28192	1	28180	1	28185	1
98	日卡奖励	28192	1	28180	1	28185	1
99	日卡奖励	28192	1	28180	1	28185	1
100	日卡奖励	28192	1	28180	1	28185	1
101	日卡奖励	28192	1	28180	1	28185	1
102	日卡奖励	28192	1	28180	1	28185	1
103	日卡奖励	28192	1	28180	1	28185	1
104	日卡奖励	28192	1	28180	1	28185	1
105	日卡奖励	28192	1	28180	1	28185	1
106	日卡奖励	28192	1	28180	1	28185	1
107	日卡奖励	28192	1	28180	1	28185	1
108	日卡奖励	28192	1	28180	1	28185	1
109	日卡奖励	28192	1	28180	1	28185	1
110	日卡奖励	28192	1	28180	1	28185	1
111	日卡奖励	28193	1	28181	1	28186	1
112	日卡奖励	28193	1	28181	1	28186	1
113	日卡奖励	28193	1	28181	1	28186	1
114	日卡奖励	28193	1	28181	1	28186	1
115	日卡奖励	28193	1	28181	1	28186	1
116	日卡奖励	28193	1	28181	1	28186	1
117	日卡奖励	28193	1	28181	1	28186	1
118	日卡奖励	28193	1	28181	1	28186	1
119	日卡奖励	28193	1	28181	1	28186	1
120	日卡奖励	28193	1	28181	1	28186	1
121	日卡奖励	28193	1	28181	1	28186	1
122	日卡奖励	28193	1	28181	1	28186	1
123	日卡奖励	28193	1	28181	1	28186	1
124	日卡奖励	28193	1	28181	1	28186	1
125	日卡奖励	28193	1	28181	1	28186	1
126	日卡奖励	28193	1	28181	1	28186	1
127	日卡奖励	28193	1	28181	1	28186	1
128	日卡奖励	28193	1	28181	1	28186	1
129	日卡奖励	28193	1	28181	1	28186	1
130	日卡奖励	28193	1	28181	1	28186	1
131	日卡奖励	28193	1	28181	1	28187	1
132	日卡奖励	28193	1	28181	1	28187	1
133	日卡奖励	28193	1	28181	1	28187	1
134	日卡奖励	28193	1	28181	1	28187	1
135	日卡奖励	28193	1	28181	1	28187	1
136	日卡奖励	28193	1	28181	1	28187	1
137	日卡奖励	28193	1	28181	1	28187	1
138	日卡奖励	28193	1	28181	1	28187	1
139	日卡奖励	28193	1	28181	1	28187	1
140	日卡奖励	28193	1	28181	1	28187	1
141	日卡奖励	28193	1	28181	1	28187	1
142	日卡奖励	28193	1	28181	1	28187	1
143	日卡奖励	28193	1	28181	1	28187	1
144	日卡奖励	28193	1	28181	1	28187	1
145	日卡奖励	28193	1	28181	1	28187	1
146	日卡奖励	28193	1	28181	1	28187	1
147	日卡奖励	28193	1	28181	1	28187	1
148	日卡奖励	28193	1	28181	1	28187	1
149	日卡奖励	28193	1	28181	1	28187	1
150	日卡奖励	28193	1	28181	1	28187	1
151	日卡奖励	28193	1	28182	1	23183	15
152	日卡奖励	28193	1	28182	1	23183	15
153	日卡奖励	28193	1	28182	1	23183	15
154	日卡奖励	28193	1	28182	1	23183	15
155	日卡奖励	28193	1	28182	1	23183	15
156	日卡奖励	28193	1	28182	1	23183	15
157	日卡奖励	28193	1	28182	1	23183	15
158	日卡奖励	28193	1	28182	1	23183	15
159	日卡奖励	28193	1	28182	1	23183	15
160	日卡奖励	28193	1	28182	1	23183	15
161	日卡奖励	28193	1	28182	1	23183	15
162	日卡奖励	28193	1	28182	1	23183	15
163	日卡奖励	28193	1	28182	1	23183	15
164	日卡奖励	28193	1	28182	1	23183	15
165	日卡奖励	28193	1	28182	1	23183	15
166	日卡奖励	28193	1	28182	1	23183	15
167	日卡奖励	28193	1	28182	1	23183	15
168	日卡奖励	28193	1	28182	1	23183	15
169	日卡奖励	28193	1	28182	1	23183	15
170	日卡奖励	28193	1	28182	1	23183	15
171	日卡奖励	28193	1	28182	1	23183	15
172	日卡奖励	28193	1	28182	1	23183	15
173	日卡奖励	28193	1	28182	1	23183	15
174	日卡奖励	28193	1	28182	1	23183	15
175	日卡奖励	28193	1	28182	1	23183	15
176	日卡奖励	28193	1	28182	1	28188	1
177	日卡奖励	28193	1	28182	1	28188	1
178	日卡奖励	28193	1	28182	1	28188	1
179	日卡奖励	28193	1	28182	1	28188	1
180	日卡奖励	28193	1	28182	1	28188	1
181	日卡奖励	28193	1	28182	1	28188	1
182	日卡奖励	28193	1	28182	1	28188	1
183	日卡奖励	28193	1	28182	1	28188	1
184	日卡奖励	28193	1	28182	1	28188	1
185	日卡奖励	28193	1	28182	1	28188	1
186	日卡奖励	28193	1	28182	1	28188	1
187	日卡奖励	28193	1	28182	1	28188	1
188	日卡奖励	28193	1	28182	1	28188	1
189	日卡奖励	28193	1	28182	1	28188	1
190	日卡奖励	28193	1	28182	1	28188	1
191	日卡奖励	28193	1	28182	1	28188	1
192	日卡奖励	28193	1	28182	1	28188	1
193	日卡奖励	28193	1	28182	1	28188	1
194	日卡奖励	28193	1	28182	1	28188	1
195	日卡奖励	28193	1	28182	1	28188	1
196	日卡奖励	28193	1	28182	1	28188	1
197	日卡奖励	28193	1	28182	1	28188	1
198	日卡奖励	28193	1	28182	1	28188	1
199	日卡奖励	28193	1	28182	1	28188	1
200	日卡奖励	28193	1	28182	1	28188	1
201	日卡奖励	28193	1	28182	1	28188	1
202	日卡奖励	28193	1	28182	1	28188	1
203	日卡奖励	28193	1	28182	1	28188	1
204	日卡奖励	28193	1	28182	1	28188	1
205	日卡奖励	28193	1	28182	1	28188	1
206	日卡奖励	28193	1	28182	1	28188	1
207	日卡奖励	28193	1	28182	1	28188	1
208	日卡奖励	28193	1	28182	1	28188	1
209	日卡奖励	28193	1	28182	1	28188	1
210	日卡奖励	28193	1	28182	1	28188	1
211	日卡奖励	28194	1	28182	1	28189	1
212	日卡奖励	28194	1	28182	1	28189	1
213	日卡奖励	28194	1	28182	1	28189	1
214	日卡奖励	28194	1	28182	1	28189	1
215	日卡奖励	28194	1	28182	1	28189	1
216	日卡奖励	28194	1	28182	1	28189	1
217	日卡奖励	28194	1	28182	1	28189	1
218	日卡奖励	28194	1	28182	1	28189	1
219	日卡奖励	28194	1	28182	1	28189	1
220	日卡奖励	28194	1	28182	1	28189	1
221	日卡奖励	28194	1	28182	1	28189	1
222	日卡奖励	28194	1	28182	1	28189	1
223	日卡奖励	28194	1	28182	1	28189	1
224	日卡奖励	28194	1	28182	1	28189	1
225	日卡奖励	28194	1	28182	1	28189	1
226	日卡奖励	28194	1	28182	1	28189	1
227	日卡奖励	28194	1	28182	1	28189	1
228	日卡奖励	28194	1	28182	1	28189	1
229	日卡奖励	28194	1	28182	1	28189	1
230	日卡奖励	28194	1	28182	1	28189	1
231	日卡奖励	28194	1	28182	1	28190	1
232	日卡奖励	28194	1	28182	1	28190	1
233	日卡奖励	28194	1	28182	1	28190	1
234	日卡奖励	28194	1	28182	1	28190	1
235	日卡奖励	28194	1	28182	1	28190	1
236	日卡奖励	28194	1	28182	1	28190	1
237	日卡奖励	28194	1	28182	1	28190	1
238	日卡奖励	28194	1	28182	1	28190	1
239	日卡奖励	28194	1	28182	1	28190	1
240	日卡奖励	28194	1	28182	1	28190	1
241	日卡奖励	28194	1	28182	1	28190	1
242	日卡奖励	28194	1	28182	1	28190	1
243	日卡奖励	28194	1	28182	1	28190	1
244	日卡奖励	28194	1	28182	1	28190	1
245	日卡奖励	28194	1	28182	1	28190	1
246	日卡奖励	28194	1	28182	1	28190	1
247	日卡奖励	28194	1	28182	1	28190	1
248	日卡奖励	28194	1	28182	1	28190	1
249	日卡奖励	28194	1	28182	1	28190	1
250	日卡奖励	28194	1	28182	1	28190	1
251	日卡奖励	28194	1	28182	1	28190	1
