EffectID	Name	EffectName	DelayTime	IsOnlyDeactive	EffectType	ParentName	FellowOwnerType	MaxOwnNum	IsCanHide	X	Y	Z	RotationX	RotationY	RotationZ	Duration	IsNeedScaleByModel	SoundID
INT	STRING	STRING	FLOAT	BOOL	BYTE	STRING	INT	INT	BOOL	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL	INT
#预留																		
#本行程序不读 动画ID	描述	特效名字	特效延迟时间	是否播放完只失效(0销毁，1不销毁只失效）	特效类别（0一般 1受击红闪烁特效 2范围标示特效）	绑定GameObjet名称（EffectPoint 通用绑定点 CenterPoint 身体中心点 HeadPoint头 LHandPoint左手 RHandPoint右手 LFootPoint左脚 RFootPoint右脚 WeaponL左手武器  WeaponR右手武器）	跟随拥有着的方式（0不跟随拥有者移动和旋转 1跟随拥有者移动和旋转 2只跟随拥有者移动但不跟随旋转 3只跟随拥有者旋转但不跟随移动）	同一特效同时存在的最大数量（-1 表示不作限制）	是否可以被隐藏	坐标X	坐标Y	坐标Z	旋转坐标X	旋转坐标Y	旋转坐标Z	持续时间 0代表循环	是否需要根据模型大小进行缩放	声音ID
1	测试数据 配置时删除	shaolin_attack_001	0.15	0	0	EffectPoint	0	-1	1	-0.044	0.497	4.221	-3.415	280.515	2.658	0.4	0	-1
2	普攻1-青云	qingyun_attack_001	0.35	1	0	EffectPoint	0	-1	1	0	1.2	0	0	0	0	0.5	0	-1
3	普攻2-青云	qingyun_attack_002	0.7	1	0	EffectPoint	0	-1	1	0	1.7	0.2	0	0	0	0.5	0	-1
4	普攻3-青云	qingyun_attack_003	1.7	1	0	EffectPoint	0	-1	1	0	0.8	1.3	90	0	0	1.2	0	-1
5	Xp1-青云男女	xp_qingyun_jineng_001	0.1	0	0	EffectPoint	0	-1	1	0.16	0	3.83	0	131.8172	0	2.1	0	-1
6	Xp2-青云男女	xp_qingyun_jineng_002	0	0	0	EffectPoint	0	-1	1	0.15	0.12	4.78	0	0	0	2.5	0	-1
7	Xp3-青云男女	xp_qingyun_jineng_004	2.75	0	0	EffectPoint	0	-1	1	-0.01	0.12	0.885	-90	0	0	3.5	0	-1
8	Xp4-青云男女	xp_qingyun_wuqidian_001	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	0	5	0	-1
9	新手目标地点指引特效	scene_mubiaozhiyin_001	0	0	0	EffectPoint	0	-1	0	0	0	-4	0	0	0	0	0	-1
10	神剑御雷_start1-青云男(废弃)	qingyun_shenjianyulei_start001	0	0	0	WeaponR	1	-1	1	0	0.2	0	0	0	0	1	0	-1
11	神剑御雷_start2-青云男	qingyun_shenjianyulei_start002	0.1	0	0	EffectPoint	0	-1	1	0.5	3	0.2	0	0	0	1.3	0	-1
12	神剑御雷_loop1-青云女	qingyun_shenjianyulei_loop001	0.2	0	0	EffectPoint	0	-1	1	0	0.1	0	0	0	0	0	0	-1
13	神剑御雷_loop2-青云女	qingyun_shenjianyulei_loop002	0	0	0	EffectPoint	0	-1	1	0	1	0.2	0	0	0	0	0	-1
14	盛冰之寒1-青云女	qingyun_tianxuanbing_001	0	0	0	EffectPoint	0	-1	1	0	0.1	0	0	0	0	2.2	0	-1
15	盛冰之寒2-青云女(废弃)	qingyun_tianxuanbing_002	0	0	0	WeaponR	0	-1	1	0	0	0	0	0	0	0.2	0	-1
16	盛冰之寒3-青云女	qingyun_tianxuanbing_003	0	0	0	EffectPoint	0	-1	1	0	0.1	0	0	0	0	0.8	0	-1
17	通用环形提示-青云	tongyong_huan_001	0	0	2	EffectPoint	1	-1	0	0	0	0	0	0	0	0	0	-1
18	神剑御雷_start1-青云女（废弃）	qingyun_shenjianyulei_start001	0	0	0	WeaponR	1	-1	1	0	0.2	0	0	0	0	1	0	-1
19	神剑御雷_start2-青云女	qingyun_shenjianyulei_start002	0.1	0	0	EffectPoint	0	-1	1	-0.1	3	0.2	0	0	0	1.3	0	-1
20	霜寒雪舞1-青云(废弃)	qingyun_hanshuangxuewu_001	0.3	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0	-1
21	霜寒雪舞2-青云(废弃)	qingyun_shuanghanxuewu_004	0	0	0	EffectPoint	0	-1	1	0	1	0.5	0	0	0	3	0	-1
22	霜寒雪舞3-青云(废弃)	qingyun_hanshuangxuewu_003	0.2	0	0	EffectPoint	0	-1	1	0	1	0	0	0	0	0.8	0	-1
23	新手目标地点指引特效	scene_mubiaozhiyin_002	0	0	0	EffectPoint	0	-1	0	0	0	0	0	0	0	0	0	-1
24	七劫斩龙诀1-青云	qingyun_qijiezhanlongjue_001	0.15	0	0	EffectPoint	0	-1	1	0	1.8	0.5	0	0	0	1	0	-1
25	七劫斩龙诀2-青云	qingyun_qijiezhanlongjue_002	0.3	0	0	EffectPoint	0	-1	1	0	0.1	3	0	0	0	1	0	-1
26	七劫斩龙诀3-青云	qingyun_qijiezhanlongjue_003	1.2	0	0	EffectPoint	0	-1	1	0	0.7	2	0	0	0	1.7	0	-1
27	通用受击特效	tongyong_shouji_001	0	1	0	CenterPoint	2	2	1	0	0	0	0	0	0	1	0	-1
28	通用冰冻定身特效	debuff_dingshen_001	0	0	0	HeadPoint	2	5	1	0	0	0	0	0	0	0	0	-1
29	普攻1-青云-女	qingyun_attack_001	0.35	1	0	EffectPoint	0	-1	1	0	1.2	0	0	0	0	0.5	0	-1
30	普攻2-青云-女	qingyun_attack_002	0.7	1	0	EffectPoint	0	-1	1	0	1.7	0.2	0	0	0	0.5	0	-1
31	普攻3-青云-女	qingyun_attack_003	1.85	1	0	EffectPoint	0	-1	1	0	0.8	1.2	0	90	90	1.2	0	-1
32	受击红闪烁特效	EmptyEffect	0	0	1	EffectPoint	1	2	1	0	0	0	0	0	0	0.15	0	-1
33	普攻子弹特效1-青云	qingyun_attack_zidan_001	0.3	1	0	EffectPoint	0	-1	1	0	1	0.7	0	0	0	0.3	0	-1
34	普攻子弹特效2-青云	qingyun_attack_zidan_001	0.7	1	0	EffectPoint	0	-1	1	0	1	0.7	0	0	0	0.3	0	-1
35	走路水花	scene_qinggongshuihua_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	1	0	-1
36	普攻子弹特效3-青云	qingyun_attack_zidan_003	1.7	1	0	EffectPoint	0	-1	1	0.65	1	0.5	0	0	0	0.2	0	-1
37	法宝UI特效	ui_fabao_001	0	0	0	EffectPoint	0	-1	1	-2.15	0.92	4.24	0	180	0	3	0	-1
38	法宝变坐骑	tongyong_shangfabao_001	0	0	0	EffectPoint	0	2	1	0	1	-1	90	0	0	1	0	-1
39	毒神技能1-尸毒咒-demo	boss_dushen_shiduzhou_001	0.3	0	0	EffectPoint	0	-1	1	0	0.12	0	0	0	0	3	0	-1
40	毒神技能自身-尸毒咒-demo	boss_dushen_shiduzhou_zishen_001	0	0	0	WeaponR	1	-1	1	-0.73	0.1	0	0	0	0	2.7	0	-1
41	毒神技能2-尸毒咒-demo	boss_dushen_shiduzhou_002	0.5	0	0	EffectPoint	0	-1	1	0	2.2	0	0	0	0	0.3	0	-1
42	九幽冥蛇技能-喷毒-demo	boss_jiumingxuanshe_001	0.8	0	0	EffectPoint	0	-1	1	-4	1	1.2	0	0	0	1.4	1	-1
43	普攻子弹特效1-青云	dushen_zidan_001	0.85	0	0	EffectPoint	0	-1	1	-0.235	1	1.169	0	0	0	0	0	-1
44	Xp龙1-青云男女	LongTX	0	0	0	EffectPoint	0	-1	1	0	0	2.58	0	0	0	2	0	-1
45	Xp龙2-青云男女	LongTX01	2.3	0	0	EffectPoint	0	-1	1	0	0	-1.95	0	0	0	0.8	0	-1
46	XP受击特效	tongyong_shouji_001	0.1	0	0	CenterPoint	2	2	1	0	0	0	0	0	0	1	0	-1
47	XP受击红闪烁特效	EmptyEffect	0.15	0	1	EffectPoint	1	2	1	0	0	0	0	0	0	0.1	0	-1
48	毒神死亡特效	boss_dushen_siwang_001	0.1	0	0	EffectPoint	0	1	1	0	0.1	-0.2	0	0	0	4	0	-1
