Id	Desc	TabIndex	ItemId	LimitCount	Cost	Bind	ShowSort	NeedConfirm	MaxBuyCount	ReqLevel
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=9999;MAX_RECORD=9999;										
#ID	描述(程序不读)	从属商店（1仙灵 2荣誉 3帮贡 4神武通宝 5师徒 6经验）	物品ID	单日购买上限：-1无上限	价格	是否绑定	显示顺序（-1按id显示 0往上越小越靠前显示）	是否需要二次确认	最大购买数量	等级限制
1	30级打造图	1	12101	-1	500	1	1	0	999	-1
2	60级打造图	1	12102	-1	500	1	1	0	999	-1
3	90级打造图	1	12103	-1	500	1	1	0	999	-1
4	120级打造图	1	12104	-1	800	1	2	0	999	-1
5	150级打造图	1	12105	-1	800	1	2	0	999	-1
6	天琊	1	37014	-1	200000	1	3	1	999	-1
7	大悲金轮	1	37015	-1	200000	1	3	1	999	-1
8	伏龙鼎	1	37016	-1	200000	1	3	1	999	-1
9	合欢铃	1	37017	-1	200000	1	3	1	999	-1
10	紫芒刃	1	37021	-1	300000	1	3	1	999	-1
11	乾坤青光戒	1	37022	-1	300000	1	3	1	999	-1
12	周一仙碎片	1	13209	-1	12000	1	4	1	999	-1
13	小环碎片	1	13212	-1	6000	1	4	1	999	-1
14	完璧符	2	3100	-1	5	1	11	0	999	-1
15	吉星符	2	3200	-1	100	1	8	0	999	-1
16	林惊羽碎片	2	13206	-1	36	1	6	0	999	-1
17	苏茹碎片	2	13216	-1	15	1	7	0	999	-1
18	灵尘	2	13000	100	3	1	12	0	999	-1
19	琥珀朱绫	2	37029	-1	1350	1	1	0	999	-1
20	林惊羽	2	13006	-1	1800	1	3	0	999	-1
21	苏茹	2	13016	-1	750	1	4	0	999	-1
22	玄火鉴	2	37025	-1	1350	1	1	0	999	-1
23	灵尘	1	13000	20	800	1	5	0	999	-1
24	周一仙整卡	1	13009	-1	600000	1	6	1	999	-1
25	小环整卡	1	13012	-1	300000	1	6	1	999	-1
26	道玄真人碎片	2	13202	-1	90	1	5	0	999	-1
27	道玄真人	2	13002	-1	4500	1	2	0	999	-1
28	极品完璧符	2	3101	-1	55	1	10	0	999	-1
29	神品完璧符	2	3102	-1	100	1	9	0	999	-1
30	陆雪琪整卡	3	13007	-1	1750	1	0	1	999	-1
31	陆雪琪碎片	3	13207	-1	35	1	2	0	999	-1
32	完璧符（小）	3	3100	-1	10	1	4	0	999	-1
33	极品完璧符（中）	3	3101	-1	120	1	5	0	999	-1
34	四灵幡	4	37031	-1	6750	1	0	0	999	-1
35	多情环	4	37032	-1	6750	1	1	0	999	-1
36	九尾整卡	4	13025	-1	36000	1	3	0	999	-1
37	六尾整卡	4	13019	-1	12500	1	4	0	999	-1
38	三尾整卡	4	13020	-1	12500	1	5	0	999	-1
39	九尾碎片	4	13225	-1	720	1	7	0	999	-1
40	六尾碎片	4	13219	-1	250	1	8	0	999	-1
41	三尾碎片	4	13220	-1	250	1	9	0	999	-1
42	八卦石·豪血	4	37904	-1	350	1	11	0	999	-1
43	八卦石·紫薇	4	37905	-1	350	1	12	0	999	-1
44	八卦石·八凶	4	37906	-1	350	1	13	0	999	-1
45	八卦石·黄道	4	37907	-1	350	1	14	0	999	-1
46	八卦石·魔煞	4	37908	-1	350	1	15	0	999	-1
47	八卦石·万通	4	37909	-1	350	1	16	0	999	-1
48	灵宝密尘	4	4005	-1	200	1	17	0	999	-1
49	丹青装·衣[7天]	5	20692	-1	360	1	2	0	999	-1
50	丹青装·衣[30天]	5	20693	-1	840	1	3	0	999	-1
51	丹青装·衣[永久]	5	20694	-1	1440	1	4	0	999	-1
52	彩翼[7天]	5	20048	-1	840	1	5	0	999	-1
53	彩翼[30天]	5	20049	-1	1680	1	6	0	999	-1
54	彩翼[永久]	5	20050	-1	2880	1	7	0	999	-1
55	翠玉麒麟[7天]	5	20039	-1	1080	1	8	0	999	-1
56	翠玉麒麟[30天]	5	20040	-1	2520	1	9	0	999	-1
57	翠玉麒麟[永久]	5	20041	-1	4680	1	10	0	999	-1
58	神农妙露	5	8100	-1	1500	1	11	0	999	-1
59	天香豆蔻	5	8150	-1	1500	1	12	0	999	-1
60	培元丹	6	4500	-1	400000	1	2	0	99	-1
61	171级打造图	1	12106	-1	1000	1	2	0	999	-1
62	191级打造图	1	12107	-1	1000	1	2	0	999	-1
63	211级打造图	1	12108	-1	1000	1	2	0	999	-1
64	226级打造图	1	12109	-1	1000	1	2	0	999	-1
65	236级打造图	1	12110	-1	1000	1	2	0	999	-1
66	246级打造图	1	12111	-1	1000	1	2	0	999	-1
67	青龙整卡	4	13033	-1	36000	1	2	0	999	-1
68	青龙碎片	4	13233	-1	720	1	6	0	999	-1
69	玄武整卡	3	13036	-1	1750	1	1	1	999	-1
70	玄武碎片	3	13236	-1	35	1	3	0	999	-1
71	普泓碎片	6	13232	-1	18000000	1	0	0	99	-1
72	普方碎片	6	13237	-1	6000000	1	1	0	99	-1
73	赤霄7天	2	20069	-1	200	1	13	0	999	-1
74	赤霄30天	2	20070	-1	460	1	13	0	999	-1
75	赤霄永久	2	20071	-1	1600	1	13	0	999	-1
76	侠义值兑换称号	5	22649	-1	31900	1	1	1	99	-1
77	日月精华	4	4014	16	60	1	10	0	16	90
78	新春爆竹	1	37034	-1	30500	1	3	1	999	-1
