Id	Desc	ResPath	PosX	PosY	PosZ	RotX	RotY	RotZ	FieldOfView
INT	STRING	STRING	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT
#									
#ID	名称	模型路径	X方向偏移	Y方向偏移	Z方向偏移	X方向旋转	Y方向旋转	Z方向旋转	摄像机FieldOfView
1	青云男（前16个不要删 程序用）	Zy_qingyunnan_020	-0.005	-0.76	2.55	0	-180	0	60
2	青云女	Zy_qingyunnv_010	0.07855225	-0.64	2.248352	0	-176.2522	0	60
3	天音男	Zy_qingyunnan_021	-0.005	-0.76	2.55	0	-180	0	60
4	天音女	Zy_qingyunnv_011	0.07855225	-0.64	2.248352	0	-176.2522	0	60
5	鬼王男	Zy_guiwangzongnan_010	-0.005	-0.76	2.55	0	-180	0	60
6	鬼王女	Zy_guiwangzongnv_010	-0.012	-0.64	2.254	0	-176.2522	0	60
7	合欢男	Zy_qingyunnan_023	-0.005	-0.76	2.55	0	-165.5248	0	60
8	合欢女	Zy_qingyunnv_013	0.07855225	-0.64	2.248352	0	170.578	0	60
9	头像-青云男	Zy_qingyunnan_020	0	-1.41	1.553	-4.302032	180	0	10
10	头像-青云女	Zy_qingyunnv_010	0.013	-1.251	1.557	4.020848	178.0212	0.001381785	10
11	头像-天音男	Zy_qingyunnan_021	-0.002	-1.38	1.796	-5	-180	0	10
12	头像-天音女	Zy_qingyunnv_011	0.021	-1.246738	1.683	3.689261	-180	0	10
13	头像-鬼王男	Zy_qingyunnan_022	-0.009442138	-1.36	1.451	-5.857727	179.5281	0.04816594	10
14	头像-鬼王女	Zy_qingyunnv_012	-0.04	-1.2	1.695	-4.995026	177.4435	0.2227372	10
15	头像-合欢男	Zy_qingyunnan_023	-0.01	-1.38	1.9	-4.868774	-166.8117	-1.139404	10
16	头像-合欢女	Zy_qingyunnv_013	0.045	-1.223	1.549	2.696172	165.6204	-0.6909485	10
17	青云男弟子	Zy_qingyunnan_020	0	-1.33	0.46	-4.8	-168	0	60
18	法宝1-寒冰剑	Jian_hanbingjian_01	0.04	0.63	1.58	-5	90	90	60
19	法宝3-羽皇	Fb_qingyun_yuhuang_1	0	-1.23	2.07	-5	180	0	60
20	半身像-陆雪琪（青云女弟子）	Npc_luxueqi_1	0	-1.21	0.39	-5	172.6	0	60
21	法宝2-羽翅	Fb_qingyun_yuchi_1	0	-1.23	2.79	-5	180	0	60
22	小环	Npc_xiaohuan_1	0.08	-1.18	0.5	1.7	-177.4099	-3.749878	60
23	张小凡	Npc_zhangxiaofan_1	0	-1.32	0.55	-5	-175	0	60
24	道玄	Npc_daoxuanzhenren_1	0	-1.42	0.5	-15.58002	168.4	0	60
25	周一仙	Npc_zhouyixian_1	-0.05	-1.33	0.6	-5	166.6	0	60
26	半身像-张小凡	Npc_zhangxiaofan_2	0	-1.36	0.45	-5	-174.2	0	60
27	青云男新手装	Zy_qingyunnan_001	0	-1.43	0.6	-5	175	0	60
28	青云女新手装	Zy_qingyunnv_001	0	-1.35	0.6	-5	175	0	60
29	青云男20级装备	Zy_qingyunnan_020	0	-1.43	0.6	-5	175	0	60
30	青云女20级装备	Zy_qingyunnv_010	0	-1.35	0.6	-5	175	0	60
31	青云男40级装备	Zy_qingyunnan_040	0	-1.43	0.6	-5	175	0	60
32	青云女40级装备	Zy_qingyunnv_040	0	-1.35	0.6	-5	175	0	60
33	组队角色模型-青云男	Zy_qingyunnan_020	0.026	-0.771	1.677	12.4732	180	0	60
34	组队角色模型-青云女	Zy_qingyunnv_010	0.01736552	-0.7116731	1.539733	11.66998	-179.9629	0.8080285	60
35	组队角色模型-天音男	Zy_qingyunnan_021	0.02871857	-0.7721295	1.627819	12.46211	-177.0672	0.6508954	60
36	组队角色模型-天音女	Zy_qingyunnv_011	0.01736552	-0.7116731	1.539733	11.66998	-179.9629	0.8080285	60
37	组队角色模型-鬼王男	Zy_qingyunnan_022	0.026	-0.771	1.677	12.4732	180	0	60
38	组队角色模型-鬼王女	Zy_qingyunnv_012	0.009999933	-0.75	1.610029	14.15785	177.5016	-2.091553	60
39	组队角色模型-合欢男	Zy_qingyunnan_023	0.02423943	-0.7710565	1.63	12.46212	-167.471	2.545979	60
40	组队角色模型-合欢女	Zy_qingyunnv_013	0.07	-0.69	1.63	12.94	170.97	-2.037	60
41	剑类坐骑（法宝）	null	-0.34	-2.1	3	-5	140	0	60
42	翅膀类坐骑（法宝）	null	0.05	-2.1	3	-5	154	0	60
43	麒麟坐骑	null	0.5	-2.21	6.75	-5	132.4727	0	60
44	半身像-青云男	Zy_qingyunnan_001	0	-1.38	0.95	0.76	175	0	30
