Id	Desc	FashionPart	VisualId	Name	ProfessionReq	SexReq	Atlas	Icon	FashionDesc	IsSell	BuyKeywords	Material1	Material2	Material3	Material4	ShowSort	IsShow	ColorId1	ColorId2	ColorId3	ColorId4	ColorId5
INT	STRING	INT	INT	STRING	INT	INT	STRING	STRING	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=9999;MAX_RECORD=500;																						
#ID	描述(程序不读)	部位（0面部 1头发 2身体 3武器）	外观ID	名字（除了显示还是跳转商城购买的关键字 注意维护）	职业要求（0青云 1天音 2鬼王 3合欢 -1不限）	性别要求（0男 1女 -1不限）		图标	获得途径	是否可购买	购买跳转关键字	素材时装1	素材时装2	素材时装3	素材时装4	显示排序（-1按id显示 0往上越小越靠前显示）	是否显示	染色1ID（对应FashionColor表）	染色2ID（对应FashionColor表）	染色3ID（对应FashionColor表）	染色4ID（对应FashionColor表）	染色5ID（对应FashionColor表）
0	小凡装头部	1	101	小凡装·发	-1	0	Icon	qingyun_tao1_tou	一个人，一根烧火棍，面对整个世界。	0	小凡装·发	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1
1	小凡装衣服	2	105	小凡装·衣	-1	0	Icon	qingyun_20	一个人，一根烧火棍，面对整个世界。	0	小凡装·衣	-1	-1	-1	-1	999	0	-1	-1	-1	-1	-1
2	鬼厉贰·发	1	154	鬼厉贰·发	-1	0	IconPlusAtlas	Fx_nan_GuiLi	在商城购买获得	1	鬼厉贰·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
3	鬼厉贰·衣	2	106	鬼厉贰·衣	-1	0	Icon	guiwang_0	在商城购买获得	1	鬼厉贰·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
4	雪琪贰·发	1	146	雪琪贰·发	-1	1	Icon	Fx_nv_12	在商城购买获得	1	雪琪贰·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
5	雪琪贰·衣	2	107	雪琪贰·衣	-1	1	IconPlusAtlas	Sz_Nv_XueQi_01	在商城购买获得	1	雪琪贰·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
6	废弃	1	104	废弃	-1	1	Icon	qingyun_tao9_tou	在商城购买获得	0	废弃	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1
7	碧瑶贰·衣	2	108	碧瑶贰·衣	-1	1	IconPlusAtlas	Sz_Nv_BiYao_01	在商城购买获得	1	碧瑶贰·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
8	新手外观衣服1	2	67	青逸	-1	-1	IconPlusAtlas	Sz_Nan_QingYi_01	创建角色即可免费获得	0	青逸	-1	-1	-1	-1	8	1	-1	-1	-1	-1	-1
9	新手外观衣服2	2	68	弥云	-1	-1	IconPlusAtlas	Sz_Nan_MiYun_01	创建角色即可免费获得	0	弥云	-1	-1	-1	-1	9	1	-1	-1	-1	-1	-1
10	新手外观衣服3	2	69	玄影	-1	-1	IconPlusAtlas	Sz_Nan_XuanYing_01	创建角色即可免费获得	0	玄影	-1	-1	-1	-1	10	1	-1	-1	-1	-1	-1
11	新手外观脸1	0	70	初雪	-1	-1	Icon	lianxing_1	在商城购买获得	1	初雪	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1
12	新手外观脸2	0	71	古兰	-1	-1	Icon	lianxing_2	在商城购买获得	1	古兰	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
13	新手外观脸3	0	72	蕙质	-1	-1	Icon	lianxing_3	在商城购买获得	1	蕙质	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1
14	新手外观脸4	0	73	娟秀	-1	-1	Icon	lianxing_4	在商城购买获得	1	娟秀	-1	-1	-1	-1	4	1	-1	-1	-1	-1	-1
15	新手外观脸5	0	74	静姝	-1	-1	Icon	lianxing_5	在商城购买获得	1	静姝	-1	-1	-1	-1	5	1	-1	-1	-1	-1	-1
16	新手外观脸6	0	75	青岚	-1	-1	Icon	lianxing_6	在商城购买获得	1	青岚	-1	-1	-1	-1	6	1	-1	-1	-1	-1	-1
17	新手外观头发1	1	76	流云	-1	-1	Icon	faxing_1	在商城购买获得	1	流云	-1	-1	-1	-1	4	1	-1	-1	-1	-1	-1
18	新手外观头发2	1	77	云髻	-1	-1	Icon	faxing_2	在商城购买获得	1	云髻	-1	-1	-1	-1	4	1	-1	-1	-1	-1	-1
19	新手外观头发3	1	78	凌云	-1	-1	Icon	faxing_3	在商城购买获得	1	凌云	-1	-1	-1	-1	4	1	-1	-1	-1	-1	-1
20	新手外观头发4	1	79	洛玄	-1	-1	Icon	faxing_4	在商城购买获得	1	洛玄	-1	-1	-1	-1	4	1	-1	-1	-1	-1	-1
21	新手外观头发5	1	80	辉月	-1	-1	Icon	faxing_5	在商城购买获得	1	辉月	-1	-1	-1	-1	4	1	-1	-1	-1	-1	-1
22	新手外观头发6	1	81	璃梦	-1	-1	Icon	faxing_6	在商城购买获得	1	璃梦	-1	-1	-1	-1	4	1	-1	-1	-1	-1	-1
23	职业武器1级	3	82	流光	-1	-1	Icon	baojian	在商城购买获得	1	流光	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1
24	职业武器20级	3	83	定光	-1	-1	Icon	baojian	在商城购买获得	1	定光	-1	-1	-1	-1	2	0	-1	-1	-1	-1	-1
25	职业武器40级	3	84	青冥	-1	-1	Icon	baojian	在商城购买获得	1	青冥	-1	-1	-1	-1	3	0	-1	-1	-1	-1	-1
26	职业武器70转80级	3	85	戾天	-1	-1	Icon	baojian	在商城购买获得	1	戾天	-1	-1	-1	-1	4	0	-1	-1	-1	-1	-1
27	职业武器100转100级	3	86	归鸿	-1	-1	Icon	baojian	在商城购买获得	1	归鸿	-1	-1	-1	-1	5	0	-1	-1	-1	-1	-1
28	职业武器130转120级	3	87	纤云	-1	-1	Icon	baojian	在商城购买获得	1	纤云	-1	-1	-1	-1	6	0	-1	-1	-1	-1	-1
29	职业武器150级	3	88	飞星	-1	-1	Icon	baojian	在商城购买获得	1	飞星	-1	-1	-1	-1	7	0	-1	-1	-1	-1	-1
30	职业武器转135级	3	89	含光	-1	-1	Icon	baojian	[8F3E13]集齐[0B71B1]青逸[-]、[0B71B1]初雪[-]、[0B71B1]流云[-]获得[-]	0	含光	-1	-1	-1	-1	8	0	-1	-1	-1	-1	-1
31	职业武器转145级	3	90	阙情	-1	-1	Icon	baojian	[8F3E13]集齐[0B71B1]弥云[-]、[0B71B1]古兰[-]、[0B71B1]云髻[-]获得[-]	0	阙情	-1	-1	-1	-1	9	0	-1	-1	-1	-1	-1
32	职业武器转155级	3	91	七星	-1	-1	Icon	baojian	[8F3E13]集齐[0B71B1]玄影[-]、[0B71B1]蕙质[-]、[0B71B1]凌云[-]获得[-]	0	七星	-1	-1	-1	-1	10	0	-1	-1	-1	-1	-1
