Id	Desc	Name	Desc	Type	GrowthDefault	GrowthMin	GrowthLowSection	GrowthHighSection	GrowthMax	LowGrowthWeight	MidGrowthWeight	HighGrowthWeight	DouzhiZZDefault	DouzhiZZMin	DouzhiZZLowSection	DouzhiZZHighSection	DouzhiZZMax	LowDouzhiZZWeight	MidDouzhiZZWeight	HighDouzhiZZWeight	JiantiZZDefault	JiantiZZMin	JiantiZZLowSection	JiantiZZHighSection	JiantiZZMax	LowJiantiZZWeight	MidJiantiZZWeight	HighJiantiZZWeight	ZhongxinZZDefault	ZhongxinZZMin	ZhongxinZZLowSection	ZhongxinZZHighSection	ZhongxinZZMax	LowZhongxinZZWeight	MidZhongxinZZWeight	HighZhongxinZZWeight	LingdongZZDefault	LingdongZZMin	LingdongZZLowSection	LingdongZZHighSection	LingdongZZMax	LowLingdongZZWeight	MidLingdongZZWeight	HighLingdongZZWeight	PointRecommendDict	PlanAMainPoint	PlanAAssistPoint	PlanBMainPoint	PlanBAssistPoint
INT	STRING	STRING	STRING	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;																																																	
#ID	程序不读	名称	描述	星相类型(1金2火3日4水5星6风7月8灵9天10地11土12木)	默认成长率	最低成长率	成长率较低节点	成长率较高节点	最高成长率	低成长率权重	中成长率权重	高成长率权重	默认斗志资质	最低斗志资质	斗志资质较低节点	斗志资质较高节点	最高斗志资质	低斗志资质权重	中斗志资质权重	高斗志资质权重	默认健体资质	最低健体资质	健体资质较低节点	健体资质较高节点	最高健体资质	低健体资质权重	中健体资质权重	高健体资质权重	默认忠心资质	最低忠心资质	忠心资质较低节点	忠心资质较高节点	最高忠心资质	低忠心资质权重	中忠心资质权重	高忠心资质权重	默认灵动资质	最低灵动资质	灵动资质较低节点	灵动资质较高节点	最高灵动资质	低灵动资质权重	中灵动资质权重	高灵动资质权重	加点推荐字典	极限方案主属性点数	极限方案辅属性点数	均衡方案主属性点数	均衡方案辅属性点数
0	金曜-测试	金曜	金曜	1	0.5	0.5	1	1.5	2	10	5	2	500	500	1000	1500	2000	10	5	2	2000	2000	2833	3666	4500	10	5	2	500	500	1000	1500	2000	10	5	2	500	500	1000	1500	2000	10	5	2	2904	4	1	3	2
1	15级-普通-金曜	金曜	金曜	1	-1	0.97	3.51	3.93	5.2	60	25	15	-1	291	1052	1179	1559	60	25	15	-1	204	736	825	1091	60	25	15	-1	131	474	531	702	60	25	15	-1	131	474	531	702	60	25	15	5386	4	1	3	2
2	15级-普通-火曜	火曜	火曜	2	-1	0.97	3.51	3.93	5.2	60	25	15	-1	291	1052	1179	1559	60	25	15	-1	131	474	531	702	60	25	15	-1	131	474	531	702	60	25	15	-1	204	736	825	1091	60	25	15	5387	4	1	3	2
3	15级-普通-日曜	日曜	日曜	3	-1	0.97	3.51	3.93	5.2	60	25	15	-1	291	1052	1179	1559	60	25	15	-1	131	474	531	702	60	25	15	-1	204	736	825	1091	60	25	15	-1	131	474	531	702	60	25	15	5388	4	1	3	2
4	15级-普通-水曜	水曜	水曜	4	-1	0.97	3.51	3.93	5.2	60	25	15	-1	131	474	531	702	60	25	15	-1	131	474	531	702	60	25	15	-1	204	736	825	1091	60	25	15	-1	291	1052	1179	1559	60	25	15	5389	4	1	3	2
5	15级-普通-星曜	星曜	星曜	5	-1	0.97	3.51	3.93	5.2	60	25	15	-1	204	736	825	1091	60	25	15	-1	131	474	531	702	60	25	15	-1	131	474	531	702	60	25	15	-1	291	1052	1179	1559	60	25	15	5390	4	1	3	2
6	15级-普通-风耀	风耀	风耀	6	-1	0.97	3.51	3.93	5.2	60	25	15	-1	131	474	531	702	60	25	15	-1	204	736	825	1091	60	25	15	-1	131	474	531	702	60	25	15	-1	291	1052	1179	1559	60	25	15	5391	4	1	3	2
