Id	Desc	NeedItemNum	NeedCoinNum	RefixRate
INT	STRING	INT	INT	FLOAT
#MAX_ID=256;MAX_RECORD=256;TableType=Hash;				
#星等	程序不读	升级消耗道具数量	升级消耗银币数量	增加百分比
1	星等1	1	1800	0.0264
2	星等2	2	2900	0.0529
3	星等3	3	4700	0.0793
4	星等4	5	7600	0.1057
5	星等5	10	11700	0.1321
6	星等6	15	18200	0.1586
7	星等7	20	27600	0.1850
8	星等8	40	42800	0.2114
9	星等9	60	65700	0.2379
10	星等10	80	100900	0.2643
11	星等11	100	154900	0.2907
12	星等12	150	238200	0.3172
13	星等13	200	366600	0.3436
14	星等14	250	563700	0.3700
15	星等15	300	867600	0.3964
16	星等16	400	1335100	0.4229
17	星等17	500	2054200	0.4493
18	星等18	500	2054200	0.4657
