Id	Desc	LimitID	BonusID	MisType	LogicType	LogicID	ScriptID	NextMisID0	NextMisID1	NextMisID2	NextMisID3	NextMisID4	ChapterID	IsClientMis	IsCanAskHelp
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=10240;MAX_RECORD=10241;TableType=Hash;															
#任务ID	本列程序不读	任务限制ID	奖励ID（对应BonusTable.txt）	任务类型（1=主线；2=支线；3=隐藏；4=环任务；5=帮会任务；6=节日任务）	任务逻辑方式（1=剧情；2=杀怪；3=送信；4=收集；5=探索；6=杀怪寻物；7=副本杀怪；8=升级；9=采集类任务；10=多人副本任务）	对应任务逻辑类型表ID	任务脚本ID(不用脚本为-1)	【默认】下一个任务ID（-1表示没有后续，然后读取职业下一个）	【青云】下一个任务ID（-1表示没有后续）	【天音】下一个任务ID（-1表示没有后续）	【鬼王】下一个任务ID（-1表示没有后续）	【合欢】下一个任务ID（-1表示没有后续）	章节ID，对应MisChapter.txt中章节ID，-1表示不属于章节	是否是客户端任务	是否能求助
0	【废弃】相助·壹	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
1	【废弃】相助·贰	-1	-1	1	5	0	-1	-1	2	2	3	3	-1	0	0
2	【废弃】何去何从？	-1	-1	1	1	1	-1	-1	4	4	-1	-1	-1	0	0
3	【废弃】何去何从？	-1	-1	1	1	2	-1	-1	-1	-1	5	5	-1	0	0
4	【废弃】解围·壹	-1	-1	1	2	1	-1	-1	6	6	-1	-1	-1	0	0
5	【废弃】解围·壹	-1	-1	1	2	2	-1	-1	-1	-1	7	7	-1	0	0
6	【废弃】解围·贰	-1	-1	1	2	3	-1	-1	8	8	-1	-1	-1	0	0
7	【废弃】解围·贰	-1	-1	1	2	4	-1	-1	-1	-1	9	9	-1	0	0
8	【废弃】寻找小凡	-1	-1	1	5	1	-1	-1	-1	-1	-1	-1	-1	0	0
9	【废弃】寻找小凡	-1	-1	1	5	2	-1	-1	-1	-1	-1	-1	-1	0	0
10	【废弃】主线-仙风道骨	-1	-1	2	3	1	-1	-1	-1	-1	-1	-1	-1	0	0
11	【废弃】支线-合成法宝	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
12	【废弃】支线-飞天	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
13	主线-悠悠转醒	13	13	1	5	52	-1	354	-1	-1	-1	-1	1	0	0
14	主线-卦爻占卜	14	14	1	-1	-1	1016	15	-1	-1	-1	-1	1	0	0
15	主线-妙龄少女	15	15	1	3	5	1036	16	-1	-1	-1	-1	1	0	0
16	主线-青云之缘	16	16	1	-1	-1	1030	17	-1	-1	-1	-1	1	0	0
17	主线-惹祸上身	17	17	1	7	0	-1	18	-1	-1	-1	-1	1	0	0
18	主线-祸从口出	18	18	1	3	6	1036	19	-1	-1	-1	-1	1	0	0
19	主线-忘却旧事	19	19	1	1	4	-1	20	-1	-1	-1	-1	1	0	0
20	主线-山海传闻	20	20	1	5	3	-1	21	-1	-1	-1	-1	1	0	0
21	主线-吆喝声声	21	21	1	3	7	1036	22	-1	-1	-1	-1	2	0	0
22	主线-寐鱼佳肴	22	22	1	9	6	1023	23	-1	-1	-1	-1	2	0	0
23	主线-狼吞虎咽	23	23	1	-1	-1	1037	24	-1	-1	-1	-1	2	0	0
24	主线-双双伊人	24	24	1	-1	-1	1013	25	-1	-1	-1	-1	2	0	0
25	主线-满院芬芳	25	25	1	5	10	1007	26	-1	-1	-1	-1	2	0	0
