Id	Desc	Money	BindYuanBao	Exp	TitleID	ToolID1	ToolNum1	ToolID2	ToolNum2	ProItemID1	ProNum1	ProItemID2	ProNum2	ProItemID3	ProNum3	ProItemID4	ProNum4	ChoosedID	ItemID0	ItemNum0	ItemID1	ItemNum1	ItemID2	ItemNum2
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=10240;MAX_RECORD=10241;TableType=Hash;																								
#唯一标示	策划维护列	金钱	绑定元宝	经验	称号ID	道具1ID	道具1数量	道具2ID	道具2数量	青云物品ID	青云物品数量	天音物品ID	天音物品数量	鬼王物品ID	鬼王物品数量	合欢物品ID	合欢物品数量	多选一物品数量	物品0 ID	物品0 数量	物品1 ID	物品1 数量	物品2 ID	物品2 数量
0	{0}相助·壹{1}	0	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
1	{0}相助·贰{1}	0	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
2	{0}何去何从？{1}	0	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
3	{0}何去何从？{1}	0	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
4	{0}解围·壹{1}	0	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
5	{0}解围·壹{1}	0	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
6	{0}解围·贰{1}	0	0	0	-1	-1	0	-1	1	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
7	{0}解围·贰{1}	0	0	0	-1	-1	0	-1	1	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
8	{0}寻找小凡{1}	0	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
9	{0}寻找小凡{1}	0	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
10	{0}主线-{1}赠兽	0	0	0	-1	18	1	19	1	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
11	{0}支线-{1}合成法宝	0	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
12	{0}支线-{1}飞天	0	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
13	主线-悠悠转醒	100	0	258	136	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
14	主线-周大仙人	100	0	258	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
15	主线-妙龄少女	100	0	258	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
16	主线-青云之缘	100	0	338	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
17	主线-惹祸上身	100	0	338	-1	-1	0	-1	0	41200	1	51200	1	61200	1	71200	1	-1	-1	0	-1	0	-1	0
18	主线-祸从口出	100	0	338	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
19	主线-忘却旧事	100	0	338	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
20	主线-山海传闻	100	0	567	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
21	主线-吆喝声声	100	0	567	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
22	主线-寐鱼佳肴	100	0	567	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
23	主线-狼吞虎咽	100	0	621	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
24	主线-双双伊人	100	0	621	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
25	主线-满院芬芳	100	0	621	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
26	主线-如梦似幻	100	0	621	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
27	主线-唤人声声	100	0	621	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
28	主线-闲话一二	100	0	618	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
29	主线-商旅之人	100	0	618	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
30	主线-当头冷水	100	0	618	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
31	主线-青云之论	100	0	618	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
32	主线-张姓弟子	100	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
33	主线-话起争端	100	0	722	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
34	主线-河阳事发	100	0	722	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
35	主线-来龙去脉	100	0	722	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
36	主线-诛妖之令	100	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
37	主线-利器相授	5000	0	834	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	1	-1	-1	0	-1	0	-1	0
38	主线-灌注之技	100	0	834	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
39	主线-草庙旧事	100	0	834	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
40	主线-滋事凶灵	100	0	834	-1	-1	0	-1	0	41400	1	51400	1	61400	1	71400	1	-1	-1	0	-1	0	-1	0
41	主线-压制之法	100	0	1085	137	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
42	主线-诛仙为引	100	0	1085	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
43	主线-以符而制	100	0	1085	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
44	主线-扑朔黑影	100	0	1085	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
45	主线-纠葛难断	100	0	1085	-1	-1	0	-1	0	41600	1	51600	1	61600	1	71600	1	-1	-1	0	-1	0	-1	0
46	主线-睹物思情	100	0	1227	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
47	主线-心有所惑	100	0	1227	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
48	【废弃】主线-血戾之物	100	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
49	主线-灵犀相通	100	0	1227	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
50	主线-发狂异兽	100	0	1227	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
51	主线-神秘义庄	100	0	1227	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
52	主线-扑朔迷离	100	0	1227	-1	-1	0	-1	0	41500	1	51500	1	61500	1	71500	1	-1	-1	0	-1	0	-1	0
53	主线-草庙事解	100	0	1502	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
54	主线-恩怨俱结	100	0	1502	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
55	主线-吓将一跳	100	0	1502	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
56	主线-真真假假	100	0	1502	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
57	主线-少女心思	100	0	1502	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
58	主线-旧时衣物	100	0	1502	-1	-1	0	-1	0	41300	1	51300	1	61300	1	71300	1	-1	-1	0	-1	0	-1	0
59	主线-冰糖葫芦	100	0	1502	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
60	主线-校场擂台	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
61	主线-热情相邀	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
62	主线-小试牛刀	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
63	主线-不明纸条	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
64	主线-柳暗花明	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
65	主线-柳暗花明	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
66	主线-柳暗花明	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
67	主线-柳暗花明	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
68	主线-临别之际	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
69	主线-字字珠玑	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
70	主线-分道扬镳	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
71	主线-分道扬镳	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
72	主线-分道扬镳	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
73	主线-分道扬镳	100	0	2006	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
74	主线-归心似箭	100	0	2804	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
75	主线-师兄方超	100	0	2804	-1	8001	30	8028	30	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
76	主线-山魈之祸	100	0	2804	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
77	主线-驱赶山魈	100	0	2804	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
78	主线-继续赶路	100	0	2804	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
79	主线-风回首座	100	0	2804	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
80	主线-首座之怨	100	0	3221	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
81	主线-先明师兄	100	0	3221	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
82	主线-师兄关照	100	0	3221	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
83	主线-见过掌门	100	0	3221	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
84	主线-甚感欣慰	100	0	3221	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
85	主线-欲言又止	100	0	3552	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
86	主线-是非对错	100	0	3552	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
87	主线-有意为之	100	0	3552	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
88	主线-磨砺心性	100	0	3552	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
89	主线-锻炼胆量	100	0	3552	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
90	主线-挑战同门	100	0	3552	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
91	主线-回见掌门	100	0	3775	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
92	主线-性格之试	100	0	3775	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
93	主线-亲传之位	100	0	3775	-1	41104	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
94	主线-祖师祠堂	100	0	3775	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
95	主线-枯瘦老者	100	0	3775	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
96	主线-相互切磋	100	0	3240	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
97	主线-老者嘱托	100	0	3240	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
98	主线-闭关歇息	100	0	3240	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
99	主线-大竹峰畔	100	0	3240	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
100	主线-安慰师兄	100	0	3240	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
101	主线-师父心结	100	0	3240	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
102	主线-玲珑师妹	100	0	3240	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
103	主线-大骨香味	100	0	3570	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
104	主线-大黄憨态	100	0	3570	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
105	主线-众人之意	100	0	3570	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
106	主线-意探小竹	100	0	3570	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
107	主线-鬼祟师兄	100	0	3570	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
108	主线-顽劣书书	100	0	3570	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
109	主线-曾经旧友	100	0	3570	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
110	主线-求证师姐	100	0	3847	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
111	主线-深受其害	100	0	3847	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
112	主线-望月台边	100	0	3847	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
113	主线-百转柔情	100	0	3847	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
114	主线-求情掌门	100	0	3847	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
115	主线-天机之变	100	0	3847	-1	41204	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
116	主线-心中顾虑	100	0	3847	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
117	主线-天音之行	100	0	3158	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
118	主线-红云恶僧	100	0	3158	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
119	主线-寺中住持	100	0	3158	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
120	主线-出手相助	100	0	3158	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
121	主线-普德上人	100	0	3158	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
122	主线-善恶一念	100	0	3158	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
123	主线-回见法相	100	0	3158	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
124	主线-昔日渊源	100	0	3158	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
125	主线-误闯禁地	100	0	3259	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
126	主线-佛家舍利	100	0	3259	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
127	主线-噬血来历	100	0	3259	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
128	主线-谢过天音	100	0	3259	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
129	主线-佛家之意	100	0	3259	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
130	主线-归途青云	100	0	3259	-1	41604	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
131	主线-空桑历练	100	0	3259	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
132	主线-齐昊之意	100	0	3259	-1	8002	30	8029	30	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
133	主线-六合宝镜	100	0	3259	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
134	【废弃】主线-飞行之法	100	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
135	主线-探查禁制	100	0	3454	-1	13005	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
136	主线-回见师兄	100	0	500	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
137	主线-空桑之行	100	0	500	-1	2104	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
138	主线-倦鸟归巢	100	0	2804	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
139	主线-翘首以盼	100	0	2804	-1	8001	30	8028	30	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
140	主线-掌门心思	100	0	2804	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
141	主线-翩翩君子	100	0	2804	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
142	主线-见过师兄	100	0	2804	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
143	主线-师兄关怀	100	0	3221	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
144	主线-口舌之好	100	0	3221	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
145	主线-精巧少女	100	0	3221	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
146	主线-断袖之癖	100	0	3221	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
147	主线-灵芝妙药	100	0	3221	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
148	主线-猴王赤月	100	0	3045	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
149	主线-呈礼掌门	100	0	3045	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
150	主线-深感危机	100	0	3045	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
151	主线-亲传弟子	100	0	3045	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
152	主线-欢喜婆婆	100	0	3045	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
153	主线-祭祀祖师	100	0	3045	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
154	主线-唾弃不言	100	0	3775	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
155	主线-回禀掌门	100	0	3775	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
156	主线-合欢之意	100	0	3775	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
157	主线-亲传之位	100	0	3775	-1	71104	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
158	主线-武学之师	100	0	3775	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
159	主线-诚惶诚恐	100	0	3780	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0
