Id	Desc	TarSceneID	TarPosX	TarPosZ	TarPosRadius	TarTVID
INT	STRING	INT	FLOAT	FLOAT	INT	INT
#MAX_ID=10240;MAX_RECORD=10241;TableType=Hash;						
#ID	策划维护	区域场景1	目标X坐标	目标Z坐标	目标半径	目标TV
0	相助·贰	3	6.5	57.5	3	-1
1	寻找小凡	3	84.38	63.9	3	-1
2	寻找小凡	3	84.38	63.9	3	-1
3	主线-山海传闻	5	19	113	3	-1
4	主线-草庙旧事	5	41	4.89	3	-1
5	主线-扑朔黑影	5	19.79	5.21	3	-1
6	主线-心有所惑	5	27.86	7.04	3	-1
7	主线-神秘义庄	5	114.32	79.45	3	16
8	主线-吓将一跳	5	22	67	3	-1
9	主线-校场擂台	5	15.76	42.15	3	-1
10	主线-满院芬芳	5	15.5	108.49	3	188
11	主线-柳暗花明	5	18.6	48.89	3	-1
12	主线-柳暗花明	5	18.64	46.9	3	-1
13	主线-柳暗花明	5	12.36	48.89	3	-1
14	主线-柳暗花明	5	12.32	46.85	3	-1
15	主线-归心似箭	6	9.12	17.17	3	-1
16	主线-继续赶路	6	5.91	59.36	3	-1
17	主线-大竹峰畔	6	63.77	108.48	3	55
18	主线-意探小竹	6	91.12	35.54	3	-1
19	主线-望月台边	6	89.8	8.6	3	57
20	主线-天机之变	6	111.41	36.11	3	-1
21	主线-天音之行	10	113.37	12.42	3	-1
22	主线-误闯禁地	10	7.1	86.8	3	58
23	主线-空桑之行	31	17.59	110.75	3	-1
24	主线-倦鸟归巢	12	57.85	11.83	3	-1
25	主线-翩翩君子	12	56.74	65.33	3	27
26	主线-武学之师	12	76.84	33.32	3	33
27	主线-师姐之意	12	39.9	101.3	3	34
28	主线-刁蛮师姐	12	16.5	45.17	3	-1
29	主线-探入狐岐	11	10.18	55.18	3	-1
30	主线-寒冰石室	103	16	18	3	37
31	主线-血池之谜	11	40.9	113.4	3	-1
32	主线-空桑之行	31	17.59	110.75	3	-1
33	主线-百转柔情	6	95.61	8.49	3	-1
34	主线-梵音归航	10	113.37	12.42	3	-1
35	主线-普德恩师	10	91.78	90.3	3	-1
36	主线-悟道晚霞	10	35.1	108.3	3	41
37	主线-法门佛道	10	58.05	50.11	3	-1
38	主线-普智师叔	10	77	115.9	3	-1
39	主线-探入合欢	12	57.85	11.83	3	-1
40	主线-莺莺燕燕	12	93.3	31.8	3	48
41	主线-起身回寺	10	34.9	74.84	3	-1
42	主线-空桑之行	31	17.59	110.75	3	-1
43	主线-一路向北	11	20.66	67.74	3	-1
44	主线-血池禁地	11	40.9	113.4	3	-1
45	主线-石室异动	103	16.14	16.45	3	68
46	主线-总堂之会	11	69.6	67.2	3	69
47	主线-探入青云	6	9.12	17.17	3	-1
48	主线-出手相助	11	33.6	67.4	3	-1
49	主线-空桑之行	31	17.59	110.75	3	-1
50	主线-灵尊之怒	6	54.34	61.69	3	-1
51	主线-天机之秘	6	115.37	32.47	3	73
52	主线-悠悠转醒	5	31.02	67.65	3	104
53	支线-结婚-满月古井	4	108	52	3	-1
54	空桑山-欲探空桑	31	15.4	74.8	3	-1
55	空桑山-深入空桑	31	15.7	14.35	3	-1
56	空桑山-获取信任	31	37.62	16.75	3	-1
57	空桑山-嘈杂树林	31	53.1	16.7	3	113
58	空桑山-黑水玄蛇	31	53.1	17.7	3	112
59	空桑山-逃离危机	31	69	53.3	3	-1
60	空桑山-白衣线索	31	78.6	101.5	3	-1
61	空桑山-勇闯蝠窟	33	15.91	1.79	3	-1
62	空桑山-恶鬼上门	33	15.93	5.27	3	115
63	空桑山-另寻出路	33	20.89	30.27	3	-1
64	【废弃】空桑山-逃出生天	31	83.5	60	3	-1
65	空桑山-怪异石堆	31	106.4	32.4	3	-1
66	青云支线-寻找师弟	6	94.1	109	3	-1
67	天音支线-参悟良机	10	7.1	86.8	3	-1
68	支线-狐岐山-狂妄自大	11	26	11	3	-1
69	合欢-心中疑惑	12	9.15	49.22	3	-1
70	小池镇-主线-仙人祠堂	4	44.14	10.86	3	-1
71	小池镇-主线-原来是他	4	44.14	10.86	3	117
72	小池镇-主线-小镇大会	4	53.45	45.52	3	-1
73	小池镇-主线-一掌拍醒	4	18.58	68.12	3	118
74	小池镇-主线-返回书院	4	22.82	66.49	3	-1
75	小池镇-主线-强盗盘踞	4	106.03	65.15	3	-1
76	小池镇-主线-真相大白	4	22.82	66.49	3	124
77	小池镇-主线-出发寻真	4	27.42	62.95	3	-1
78	小池镇-主线-独自出发	4	74.2	110.2	3	-1
79	小池镇-主线-阴森树林	4	81.16	119.41	3	-1
80	小池镇-主线-初入流波	53	15.94	67.67	3	-1
81	小池镇-主线-救人一命	4	22.82	66.49	3	123
82	空桑山-支线-久闻大名	31	15	75	3	-1
83	空桑山-支线-风韵犹存	31	98	112	3	-1
84	【废弃】死亡沼泽-焚香寻人	40	17.75	16	3	-1
85	焚香谷-杀生和尚	40	11.8	36.7	3	-1
86	焚香谷-初探古刹	40	23.6	47.8	3	-1
87	焚香谷-初探焚香	40	39.1	52.9	3	179
88	焚香谷-再探焚香	40	34.9	65.7	3	180
89	焚香谷-三探焚香	40	24.4	84.1	3	181
90	焚香谷-铃声来源	40	50.06	77.67	3	-1
91	焚香谷-探路不易	40	109.59	16.32	3	-1
92	焚香谷-上官师叔	40	93.9	65.1	3	187
93	焚香谷-藏身之所	40	50.63	116.57	3	-1
94	焚香谷-九尾天狐	102	16.15	16.22	3	-1
95	大王村-青云-召回之书	6	7.1	63.4	3	-1
96	大王村-青云-掌门示意	6	84.6	63.4	3	148
97	大王村-青云-起身上路	42	112.1	31.3	3	-1
98	大王村-天音-召回之书	10	58	21.8	3	-1
99	大王村-天音-掌门示意	10	58	43.4	3	149
100	大王村-天音-起身上路	42	112.1	31.3	3	-1
101	大王村-鬼王-召回之书	11	34.31	67.75	3	-1
102	大王村-鬼王-掌门示意	11	64.46	67.75	3	150
103	大王村-鬼王-起身上路	42	112.1	31.3	3	-1
104	大王村-合欢-召回之书	12	90.36	65.71	3	-1
105	大王村-合欢-掌门示意	12	90.36	65.71	3	151
106	大王村-合欢-起身上路	42	112.1	31.3	3	-1
107	大王村-路遇旧人	42	79.3	42.1	3	172
108	大王村-一探上游	42	53.34	16.5	3	173
109	大王村-当面质问	42	104.75	89.34	3	-1
