Id	Desc	LowLevel	PreMisID0	PreMisID1	PreMisID2	PreMisID3	PreMisID4	ProfessionID	IsLoop
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=10240;MAX_RECORD=10241;TableType=Hash;									
#ID	限制描述(策划填写作为维护的标志，程序不关心这一列)	等级（最小值）	【默认】前续任务ID（-1表示没有前序）	【青云】前续任务ID（-1表示没有前序）	【天音】前续任务ID（-1表示没有前序）	【鬼王】前续任务ID（-1表示没有前序）	【合欢】前续任务ID（-1表示没有前序）	职业限制(-1:无限制，按职业来；0：青云；1：天音；2：鬼王；3：合欢)	是否能重复完成
0	【废弃】相助·壹	99999	-1	-1	-1	-1	-1	-1	0
1	【废弃】相助·贰	99999	0	-1	-1	-1	-1	-1	0
2	【废弃】何去何从？	99999	1	-1	-1	-1	-1	-1	0
3	【废弃】何去何从？	99999	1	-1	-1	-1	-1	-1	0
4	【废弃】解围·壹	99999	2	-1	-1	-1	-1	-1	0
5	【废弃】解围·壹	99999	3	-1	-1	-1	-1	-1	0
6	【废弃】解围·贰	99999	4	-1	-1	-1	-1	-1	0
7	【废弃】解围·贰	99999	5	-1	-1	-1	-1	-1	0
8	【废弃】寻找小凡	99999	6	-1	-1	-1	-1	-1	0
9	【废弃】寻找小凡	99999	7	-1	-1	-1	-1	-1	0
10	【废弃】主线-仙风道骨	99999	-1	-1	-1	-1	-1	-1	0
11	【废弃】支线-合成法宝	99999	-1	-1	-1	-1	-1	-1	0
12	【废弃】支线-飞天	99999	-1	-1	-1	-1	-1	-1	0
13	主线-悠悠转醒	1	-1	-1	-1	-1	-1	-1	0
14	主线-周大仙人	1	354	-1	-1	-1	-1	-1	0
15	主线-妙龄少女	1	14	-1	-1	-1	-1	-1	0
16	主线-青云之缘	1	15	-1	-1	-1	-1	-1	0
17	主线-惹祸上身	1	16	-1	-1	-1	-1	-1	0
18	主线-祸从口出	1	17	-1	-1	-1	-1	-1	0
19	主线-忘却旧事	1	18	-1	-1	-1	-1	-1	0
20	主线-山海传闻	1	19	-1	-1	-1	-1	-1	0
21	主线-吆喝声声	1	20	-1	-1	-1	-1	-1	0
22	主线-寐鱼佳肴	1	21	-1	-1	-1	-1	-1	0
23	主线-狼吞虎咽	1	22	-1	-1	-1	-1	-1	0
24	主线-双双伊人	1	23	-1	-1	-1	-1	-1	0
25	主线-满院芬芳	1	24	-1	-1	-1	-1	-1	0
26	主线-如梦似幻	1	25	-1	-1	-1	-1	-1	0
27	主线-唤人声声	1	26	-1	-1	-1	-1	-1	0
28	主线-闲话一二	1	27	-1	-1	-1	-1	-1	0
29	主线-商旅之人	1	28	-1	-1	-1	-1	-1	0
30	主线-当头冷水	1	29	-1	-1	-1	-1	-1	0
31	主线-青云之论	1	357	-1	-1	-1	-1	-1	0
32	【废弃】主线-张姓弟子	99999	-1	-1	-1	-1	-1	-1	0
33	主线-话起争端	1	31	-1	-1	-1	-1	-1	0
34	主线-河阳事发	1	33	-1	-1	-1	-1	-1	0
35	主线-来龙去脉	1	34	-1	-1	-1	-1	-1	0
36	【废弃】主线-诛妖之令	99999	-1	-1	-1	-1	-1	-1	0
37	主线-利器相赠	1	925	-1	-1	-1	-1	-1	0
38	主线-灌注之技	1	37	-1	-1	-1	-1	-1	0
39	主线-草庙旧事	1	359	-1	-1	-1	-1	-1	0
40	主线-滋事凶灵	1	39	-1	-1	-1	-1	-1	0
41	主线-压制之法	1	40	-1	-1	-1	-1	-1	0
42	主线-诛仙为引	1	41	-1	-1	-1	-1	-1	0
43	主线-以符而制	1	355	-1	-1	-1	-1	-1	0
44	主线-扑朔黑影	1	43	-1	-1	-1	-1	-1	0
45	主线-纠葛难断	1	44	-1	-1	-1	-1	-1	0
46	主线-睹物思情	1	45	-1	-1	-1	-1	-1	0
47	主线-心有所惑	1	46	-1	-1	-1	-1	-1	0
48	【废弃】主线-血戾之物	99999	-1	-1	-1	-1	-1	-1	0
49	主线-灵犀相通	1	47	-1	-1	-1	-1	-1	0
50	主线-发狂异兽	1	49	-1	-1	-1	-1	-1	0
51	主线-神秘义庄	1	50	-1	-1	-1	-1	-1	0
52	主线-扑朔迷离	1	51	-1	-1	-1	-1	-1	0
53	主线-草庙事解	1	360	-1	-1	-1	-1	-1	0
54	主线-恩怨俱结	1	53	-1	-1	-1	-1	-1	0
55	主线-吓将一跳	1	452	-1	-1	-1	-1	-1	0
56	主线-真真假假	1	55	-1	-1	-1	-1	-1	0
57	主线-少女心思	1	56	-1	-1	-1	-1	-1	0
58	主线-旧时衣物	1	57	-1	-1	-1	-1	-1	0
59	主线-冰糖葫芦	1	58	-1	-1	-1	-1	-1	0
60	主线-校场擂台	1	59	-1	-1	-1	-1	-1	0
61	主线-热情相邀	1	60	-1	-1	-1	-1	-1	0
62	主线-小试牛刀	1	61	-1	-1	-1	-1	-1	0
63	主线-不明纸条	1	62	-1	-1	-1	-1	-1	0
64	主线-柳暗花明	1	63	-1	-1	-1	-1	0	0
65	主线-柳暗花明	1	63	-1	-1	-1	-1	1	0
66	主线-柳暗花明	1	63	-1	-1	-1	-1	2	0
67	主线-柳暗花明	1	63	-1	-1	-1	-1	3	0
68	主线-临别之际	1	-1	64	65	66	67	-1	0
69	主线-字字珠玑	1	68	-1	-1	-1	-1	-1	0
70	主线-分道扬镳	1	69	-1	-1	-1	-1	0	0
71	主线-分道扬镳	1	69	-1	-1	-1	-1	1	0
72	主线-分道扬镳	1	69	-1	-1	-1	-1	2	0
73	主线-分道扬镳	1	69	-1	-1	-1	-1	3	0
