Id	Desc	TarSceneID	TarIndex	TVID
INT	STRING	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;				
#ID	策划维护	采集点场景ID	PickItem表Index	采集完成后播放TV
0	【废弃】任务30	-1	-1	-1
1	【废弃】任务5	-1	-1	-1
2	【废弃】任务99-采青梅	-1	-1	-1
3	【废弃】任务104-采青梅	-1	-1	-1
4	【废弃】【主】丹药18	-1	-1	-1
5	【废弃】【主】美食38	-1	-1	-1
6	主线-寐鱼佳肴	5	0	116
7	主线-如梦似幻	5	1	-1
8	主线-诛妖之令	5	2	-1
9	【废弃】主线-血戾之物	-1	-1	-1
10	主线-大骨香味	6	0	-1
11	主线-探查禁制	6	1	-1
12	主线-灵芝妙药	12	0	-1
13	主线-唾弃不言	12	1	-1
14	主线-温泉功效	12	2	-1
15	主线-三生之果	12	3	-1
16	主线-龙纹之鼎	11	0	-1
17	主线-供奉物资	10	0	-1
18	主线-施舍粥饭	10	1	-1
19	主线-清扫落叶	10	2	-1
20	主线-不灭天灯	10	3	-1
21	主线-曼陀之花	11	1	-1
22	主线-明王圣母	11	2	-1
23	主线-确认异宝	103	1	-1
24	主线-整理古籍	11	4	-1
25	主线-小灰踪迹	6	2	-1
26	【废弃】主线-天机之秘	-1	-1	-1
27	主线-碑文拓印	11	5	-1
28	主线-祭祀祖师	12	4	-1
29	主线-混入鬼王	11	6	-1
30	主线-混入合欢	12	5	-1
31	主线-变身混入	6	3	-1
32	主线-细致入微	12	6	-1
33	主线-空桑山-死灵深渊	31	0	-1
34	主线-空桑山-重整旗鼓	31	1	-1
35	主线-空桑山-救治伤员	31	2	-1
36	主线-空桑山-探索洞窟	33	0	-1
37	主线-空桑山-隐秘机关	33	1	-1
38	主线-空桑山-神秘刻字	31	3	-1
39	【废弃】支线-小池镇-寓情于花	-1	-1	-1
40	{0}清扫落叶	6	4	-1
41	{0}采集金石	6	5	-1
42	{0}金石之理	6	6	-1
43	{0}铸剑冷泉	6	7	-1
44	{0}引魂灯芯	6	8	-1
45	天音支线-心如止水	10	4	-1
46	天音支线-外敷膏药	10	5	-1
47	天音支线-棕榈树油	10	6	-1
48	支线-狐岐山-伉俪情深	11	7	-1
49	支线-狐岐山-此生无悔	11	8	-1
50	合欢-花有异香	12	7	-1
51	合欢-茶之采摘	12	8	-1
52	合欢-茶之择水	12	9	-1
53	小池镇-主线-奇怪符纸	4	1	-1
54	小池镇-主线-寻回首饰	4	2	-1
55	小池镇-主线-笔墨纸砚	4	3	-1
56	小池镇-主线-阵法禁制	4	4	-1
57	空桑山-支线-先发制人	31	4	-1
58	空桑山-支线-美味糕点	31	5	-1
59	空桑山-支线-神秘包裹	31	6	-1
60	焚香谷-何人所为	40	0	-1
61	焚香谷-灭掉火堆	40	1	-1
62	焚香谷-极阴玄水	40	2	-1
63	大王村-请示老者	42	0	-1
64	大王村-珍贵蝉蜕	42	1	-1
65	大王村-注入真气	42	2	-1
66	大王村-破坏陷阱	42	3	-1
67	死亡沼泽-引路标记	43	0	-1
68	死亡沼泽-检查尸首	43	1	-1
69	死亡沼泽-搜查线索	43	2	-1
70	死亡沼泽-背后受敌	43	3	-1
71	死亡沼泽-没顶巨树	43	4	-1
72	死亡沼泽-石门缝隙	43	5	-1
73	大王村-留下记号	42	4	-1
74	大王村-青云-毁掉虫穴	42	5	-1
75	大王村-天音-毁掉虫穴	42	6	-1
76	大王村-鬼王-毁掉虫穴	42	7	-1
77	大王村-合欢-毁掉虫穴	42	8	-1
78	小池镇-支线-防患未然	4	5	-1
79	流波山-主线-调味之料	53	0	-1
80	流波山-主线-烹饪美味	53	1	-1
81	流波山-主线-收集柴火	53	2	-1
82	流波山-主线-火烧水寨	53	3	-1
83	主线-媚骨粗衫	44	0	-1
84	主线-追踪有术	44	1	140
85	主线-土闷黄雀	44	2	-1
86	主线-黑心果实	44	3	-1
87	主线-清扫院子	44	4	-1
88	主线-入土为安	44	5	-1
89	主线-清除苔藓	44	6	-1
90	主线-造桥材料	44	7	-1
91	主线-解酒奇花	44	8	-1
92	主线-怎能无酒	44	9	-1
93	主线-馋嘴猴子	44	10	-1
94	主线-追回黑杖	44	11	-1
