Id	Description	Name	Title	NpcType	Level	AttackDisType	SkillstrategyIndex	CombatAttrIndex	AttackIntervalTime	ForceId	PathRadius	AlertRadius	IsRanbdMove	RandMoveDis	CorpseTime	ReviveTime	ReviveRate	ReviveTimeBegin_01	ReviveTimeEnd_01	ReviveTimeBegin_02	ReviveTimeEnd_02	DialogID	DialogRadius	DropItemNormalId	FirstDropItemNormalId	DropItemCopyId	IsAttackFly	BelongType	IsImmuneJT	CombatNPC	MissionNpcFlag	Exp	ExpFactor	EnhanceID1	EnhanceID2	EnhanceID3	EnhanceID4	EnhanceID5	EnhanceID6	SilverCoinMin	SilverCoinMax	SilverCoinFactor	GoldCoinRate	GoldCoinDrop	GoldCoinFactor	NpcPaoPaoId	IsCanBeClientSel	IsNoALevelReduc	IsNoPernoctation	IsDisableFaceto	IsCanCatch	CatchFellowId	HuntCollectId	IsCleanLeaveCombat	BornAnimId	BornAnimTime	ScriptID	FinalAttackDrop	ImpactId_01	ImpactId_02	IsDiscareServerLevel	IsLogDropInfo
INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	INT	INT	FLOAT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=4096;MAX_RECORD=4096;TableType=Hash;																																																														
#角色ID(与RoleBaseAttr.txt一致)	描述（程序不读）	名称	称号	类别（0普通:优先播受击动作 1精英：优先播攻击动作 2 BOSS：优先播攻击动作）	等级	近战或远程（0近战 1远程）	技能选择策略	战斗属性索引（对应NpcInitialCombatAttr表格）	攻击间隔时间（毫秒）	势力 （0玩家1友好2中立3敌对5帮战蓝6帮战红7助战NPC）	脱战范围	警戒范围	是否随机游荡	随机游荡范围	尸体时间（单位：毫秒）	复活时间（尸体消散后开始计时 单位：毫秒）	复活概率（支持三位小数，1表示一定复活，复活失败会重置复活时间，等待下次复活）	复活时间限制开始时间1（0930表示09点30分之后才会复活 -1表示不限制）	复活时间限制结束时间1（2230表示22点30分之前才会复活 -1表示不限制）	复活时间限制开始时间2（0930表示09点30分之后才会复活 -1表示不限制）	复活时间限制结束时间2（2230表示22点30分之前才会复活 -1表示不限制）	Npc对话ID	Npc对话半径	非自适应掉落id，索引DropListID，如果是自适应的话，该列配成-1	非自适应掉落id，在副本首次掉落的时候使用	自适应掉落索引Id，配置成CopySceneDropID，非自适应配成-1即可	是否死亡必击飞	归属类型(NPC死亡后奖励的归属规则类型1:最后一击(副本通常用)，2:组队或个人的打血量最多，3:组队或个人先打的血量达到%10(野外默认选项)，4：所有对怪物造成伤害的组队或个人，5：归属于使用物品创建者及其队伍)	是否免疫击退	是否为战斗NPC（0-不是，1-是）	任务相关NPC标记（做仇恨计数用）	怪物经验(NPC有属性自适应ID的话，走RoleBaseAttrEnhance表)	怪物经验系数（暂时不用）	属性自适应ID（等级1-30）	属性自适应ID（等级31-60）	属性自适应ID（等级61-100）	属性自适应ID（等级101-150）	属性自适应ID（等级151-200）	属性自适应ID（等级201-251）	银币掉落浮动下限	银币掉落浮动上限	银币计算角色等级的系数	金币掉落率	金币掉落怪物部分	金币计算角色等级的系数	对应NPC泡泡表ID	是否可以被客户端点选	掉落是否没有等级衰减开关，配0表示都有等级衰减，配1表示只有经验没有等级衰减，配2表示只有物品没有等级衰减，配4表示只有银币没有等级衰减，其他组合不衰减的情况类推，7表示都没有等级衰减	是否彻夜不眠不衰减，配1时表示没有彻夜不眠的衰减	是否禁止更改朝向	是否可以捕获（1可以 0不可以）	捕获伙伴ID（-1表示没有）	如果是狩猎型怪物，死亡后对应的采集物id（索引Collet表的id），如果不是填-1	脱战时是否满血并移除全部Debuff	出生动画Id	出生动画的时长（单位:毫秒）	脚本ID，Npc服务器交互脚本ID，程序添加	最后一击掉落，没有配-1	出生自带的BUFF Id1	出生自带的BUFF Id2	npc计算经验是否不鸟服务器等级	npc掉落信息是否需要打日志
4	首登场景	张小凡		0	99	0	-1	5	1200	1	0	0	0	0	3000	2000	1	-1	-1	-1	-1	1	2	-1	-1	-1	1	3	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
5	首登场景	陆雪琪		0	99	0	4	6	1200	8	20	3	0	0	3000	2000	1	-1	-1	-1	-1	2	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
6	首登场景	碧瑶		0	99	0	1	6	1200	1	20	5	0	0	3000	2000	1	-1	-1	-1	-1	3	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	-1	0	0
7	首登场景-反派打的怪物男	长门弟子		0	1	0	1	2	2000	3	1000	1000	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	94	1677	-1	-1	-1	-1	0	0
8	首登场景-反派打的怪物女	小竹峰弟子		0	1	0	1	3	2000	3	1000	1000	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	94	1733	-1	-1	-1	-1	0	0
9	首登场景-正派打的怪物男	魔教教众		0	1	0	1	2	2000	3	1000	1000	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	94	1677	-1	-1	-1	-1	0	0
10	首登场景-正派打的怪物女	魔教弟子		0	1	0	1	3	2000	3	1000	1000	0	0	3000	2000	1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	3	0	1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	-1	-1	0	94	1733	-1	-1	-1	-1	0	0
