SceneID	Desc	Index	OptDec	CharModelID	PosX	PosZ	FlyState	FlyHeight	RotX	RotY	RotZ	IsAutoLife	AutoLifeTime
SHORT	STRING	INT	STRING	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL	SHORT
#													
#唯一标示	策划维护，此列程序不读	当前场景物品索引	采集描述	CharModel表索引	位置X	位置Z	是否空中	空中高度	模型旋转X	模型旋转Y	模型旋转Z	采集后后是否自动生成	自动生成时间（s）
5	主线-寐鱼佳肴	0	正在品尝寐鱼	209	7.85	118.87	0	0	-1	-1	-1	1	15
	主线-如梦似幻	1	正在观赏银花树	209	22.61	100.8	0	0	-1	-1	-1	1	15
	主线-诛妖之令	2	正在揭取布告	209	54.62	123.58	0	0	-1	-1	-1	1	15
	隐藏-寻味河阳（5）	3	寻找蜂蜜中…	209	5	76	0	0	-1	-1	-1	1	15
	师徒-采集	4	检查杂物中…	209	61.8	62.03	0	0	-1	-1	-1	1	15
	师徒-采集	5	检查杂物中…	209	31.45	42.14	0	0	-1	-1	-1	1	15
	师徒-采集	6	检查杂物中…	209	19.01	73.33	0	0	-1	-1	-1	1	15
	师徒-采集	7	检查杂物中…	209	17.91	86.39	0	0	-1	-1	-1	1	15
	师徒-采集	8	检查杂物中…	209	30.35	122.48	0	0	-1	-1	-1	1	15
	师徒-采集	9	检查杂物中…	209	84.14	99.02	0	0	-1	-1	-1	1	15
	节日环-采集	10	祈福中…	209	119	65	0	0	-1	-1	-1	1	15
	节日环-采集	11	祈福中…	209	81	6	0	0	-1	-1	-1	1	15
6	主线-大骨香味	0	采集中…	209	58.69	122.86	0	0	-1	-1	-1	1	15
	主线-探查禁制	1	正在检查禁制	209	115.37	32.47	1	5	-1	-1	-1	1	15
	主线-小灰踪迹	2	正在检查神秘的草丛	209	18	116.5	0	0	-1	-1	-1	1	15
	主线-变身混入	3	正在检查机关	209	122.24	23.41	0	0	-1	-1	-1	1	15
	支线-清扫落叶	4	采集中…	209	96	95	0	0	-1	-1	-1	1	15
	支线-采集金石	5	采集中…	209	119	94	0	0	-1	-1	-1	1	15
	支线-金石之理	6	采集中…	209	113	107	0	0	-1	-1	-1	1	15
	支线-铸剑冷泉	7	采集中…	209	68.67	61.69	0	0	-1	-1	-1	1	15
	支线-引魂灯芯	8	采集中…	209	64.74	116.7	0	0	-1	-1	-1	1	15
	主线-传书来报	9	取信中…	209	84.18	65.9	0	0	-1	-1	-1	1	15
12	主线-灵芝妙药	0	采集中…	209	1.46	84.54	0	0	-1	-1	-1	1	15
	主线-唾弃不言	1	正在吐口水…	209	89.62	119.2	0	0	-1	-1	-1	1	15
	主线-温泉功效	2	采集中…	209	75.57	33.32	0	0	-1	-1	-1	1	15
	主线-三生之果	3	采集中…	209	2	49	1	5	-1	-1	-1	1	15
	主线-祭祀祖师	4	正在上香	209	113.07	119.2	0	0	-1	-1	-1	1	15
	主线-混入合欢	5	试图获取香料…	209	6.63	92.16	0	0	-1	-1	-1	1	15
	主线-细致入微	6	正在清洗黑心果	209	19	68	0	0	-1	-1	-1	1	15
