Id	Desc	FormulaType	IsStatic	ProductId	StaticCount	MoneyType	Money	LevelReq	StuffGroup1	StuffCount1	StuffGroup2	StuffCount2	StuffGroup3	StuffCount3	StuffGroup4	StuffCount4	StuffGroup5	StuffCount5	StuffGroup6	StuffCount6	SecPasswordId
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=10000;MAX_RECORD=10000;																					
#索引	策划维护	配方类型(1宝石降级 2宝石升级 3宝石转换)	是否固定产出	产物ID 固定产出时为物品ID 随机产出为产品组ID	固定产物时的数量	货币类型	金钱消耗	等级限制	材料1合成组	材料1数量	材料2合成组	材料2数量	材料3合成组	材料3数量	材料4合成组	材料4数量	材料5合成组	材料5数量	材料6合成组	材料6数量	二级密码ID 没有填-1
1	元运断金石（2级）降级	1	1	5000	3	0	200	-1	2	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	元运断金石（3级）降级	1	1	5001	3	0	300	-1	3	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	元运断金石（4级）降级	1	1	5002	3	0	400	-1	4	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	元运断金石（5级）降级	1	1	5003	3	0	500	-1	5	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	元运断金石（6级）降级	1	1	5004	3	0	600	-1	6	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	元运断金石（7级）降级	1	1	5005	3	0	700	-1	7	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	元运断金石（8级）降级	1	1	5006	3	0	800	-1	8	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	元运断金石（9级）降级	1	1	5007	3	0	900	-1	9	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	元运断金石（10级）降级	1	1	5008	3	0	1000	-1	10	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	醒神断金石（2级）降级	1	1	5100	3	0	200	-1	12	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	醒神断金石（3级）降级	1	1	5101	3	0	300	-1	13	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	醒神断金石（4级）降级	1	1	5102	3	0	400	-1	14	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	醒神断金石（5级）降级	1	1	5103	3	0	500	-1	15	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	醒神断金石（6级）降级	1	1	5104	3	0	600	-1	16	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	醒神断金石（7级）降级	1	1	5105	3	0	700	-1	17	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	醒神断金石（8级）降级	1	1	5106	3	0	800	-1	18	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	醒神断金石（9级）降级	1	1	5107	3	0	900	-1	19	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	醒神断金石（10级）降级	1	1	5108	3	0	1000	-1	20	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	培元断金石（2级）降级	1	1	5200	3	0	200	-1	22	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	培元断金石（3级）降级	1	1	5201	3	0	300	-1	23	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	培元断金石（4级）降级	1	1	5202	3	0	400	-1	24	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	培元断金石（5级）降级	1	1	5203	3	0	500	-1	25	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	培元断金石（6级）降级	1	1	5204	3	0	600	-1	26	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	培元断金石（7级）降级	1	1	5205	3	0	700	-1	27	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	培元断金石（8级）降级	1	1	5206	3	0	800	-1	28	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	培元断金石（9级）降级	1	1	5207	3	0	900	-1	29	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	培元断金石（10级）降级	1	1	5208	3	0	1000	-1	30	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	混沌断金石（2级）降级	1	1	5300	3	0	200	-1	32	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	混沌断金石（3级）降级	1	1	5301	3	0	300	-1	33	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	混沌断金石（4级）降级	1	1	5302	3	0	400	-1	34	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	混沌断金石（5级）降级	1	1	5303	3	0	500	-1	35	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	混沌断金石（6级）降级	1	1	5304	3	0	600	-1	36	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	混沌断金石（7级）降级	1	1	5305	3	0	700	-1	37	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	混沌断金石（8级）降级	1	1	5306	3	0	800	-1	38	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	混沌断金石（9级）降级	1	1	5307	3	0	900	-1	39	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	混沌断金石（10级）降级	1	1	5308	3	0	1000	-1	40	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	夺魄断金石（2级）降级	1	1	5400	3	0	200	-1	42	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	夺魄断金石（3级）降级	1	1	5401	3	0	300	-1	43	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	夺魄断金石（4级）降级	1	1	5402	3	0	400	-1	44	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	夺魄断金石（5级）降级	1	1	5403	3	0	500	-1	45	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	夺魄断金石（6级）降级	1	1	5404	3	0	600	-1	46	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	夺魄断金石（7级）降级	1	1	5405	3	0	700	-1	47	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	夺魄断金石（8级）降级	1	1	5406	3	0	800	-1	48	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	夺魄断金石（9级）降级	1	1	5407	3	0	900	-1	49	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	夺魄断金石（10级）降级	1	1	5408	3	0	1000	-1	50	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
46	渡劫金刚石（2级）降级	1	1	5500	3	0	200	-1	52	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	渡劫金刚石（3级）降级	1	1	5501	3	0	300	-1	53	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	渡劫金刚石（4级）降级	1	1	5502	3	0	400	-1	54	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	渡劫金刚石（5级）降级	1	1	5503	3	0	500	-1	55	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	渡劫金刚石（6级）降级	1	1	5504	3	0	600	-1	56	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	渡劫金刚石（7级）降级	1	1	5505	3	0	700	-1	57	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	渡劫金刚石（8级）降级	1	1	5506	3	0	800	-1	58	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	渡劫金刚石（9级）降级	1	1	5507	3	0	900	-1	59	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	渡劫金刚石（10级）降级	1	1	5508	3	0	1000	-1	60	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	三味金刚石（2级）降级	1	1	5600	3	0	200	-1	62	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	三味金刚石（3级）降级	1	1	5601	3	0	300	-1	63	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	三味金刚石（4级）降级	1	1	5602	3	0	400	-1	64	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	三味金刚石（5级）降级	1	1	5603	3	0	500	-1	65	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	三味金刚石（6级）降级	1	1	5604	3	0	600	-1	66	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	三味金刚石（7级）降级	1	1	5605	3	0	700	-1	67	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	三味金刚石（8级）降级	1	1	5606	3	0	800	-1	68	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	三味金刚石（9级）降级	1	1	5607	3	0	900	-1	69	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	三味金刚石（10级）降级	1	1	5608	3	0	1000	-1	70	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	神行金刚石（2级）降级	1	1	5700	3	0	200	-1	72	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
65	神行金刚石（3级）降级	1	1	5701	3	0	300	-1	73	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
66	神行金刚石（4级）降级	1	1	5702	3	0	400	-1	74	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
67	神行金刚石（5级）降级	1	1	5703	3	0	500	-1	75	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
68	神行金刚石（6级）降级	1	1	5704	3	0	600	-1	76	1	181	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
