Id	Desc	AwardType	AwardName	BoxItemId	ItemId1	ItemCount1	ItemId2	ItemCount2	ItemId3	ItemCount3	ItemId4	ItemCount4	ItemId5	ItemCount5
INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Index;														
#ID	描述	奖励类型（1分享活动 2时装拉新）	奖励名称	礼包物品ID	礼包内物品ID1	礼包内物品数量1	礼包内物品ID2	礼包内物品数量2	礼包内物品ID3	礼包内物品数量3	礼包内物品ID4	礼包内物品数量4	礼包内物品ID5	礼包内物品数量5
1	分享礼包	1		25004	501	1	22543	1	15100	3	-1	-1	-1	-1
2	羁绊礼包-生成方	1		25005	506	1	3000	1	20000	1	-1	-1	-1	-1
3	羁绊礼包-使用方	1		25018	506	1	14000	1	20000	1	-1	-1	-1	-1
4	挚友礼包-好感度100	1		25006	501	1	15000	1	4006	1	-1	-1	-1	-1
5	挚友礼包-好感度500	1		25007	504	1	4005	2	4006	2	-1	-1	-1	-1
6	挚友礼包-好感度2000	1		25008	506	1	4005	3	4006	3	-1	-1	-1	-1
7	成长礼包-40级	1		25009	506	1	3101	1	3000	2	-1	-1	-1	-1
8	成长礼包-60级	1		25010	512	1	3101	1	3000	3	-1	-1	-1	-1
9	成长礼包-90级	1		25011	513	1	3102	1	3000	10	-1	-1	-1	-1
10	鬼厉时装	2	鬼厉时装	25014	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	雪琪时装	2	雪琪时装	25015	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	碧瑶时装	2	碧瑶时装	25016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	校服套男	2	校服(男)·套装	25033	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	校服套女	2	校服(女)·套装	25034	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
