Id	Desc	IsCanPK	PKValueDecTime	IsIncPKValue	IgnorePKValueWeekDay	IgnorePKValueBeginTime_Day	IgnorePKValueEndTime_Day	IsCanUseXp	IsCanTeamFollow	IsCanCallTeam	IsCanFly	IsCanMount	IsCanUseRecover
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1023;MAX_RECORD=1024;TableType=Index;													
#场景ID	描述(不读)	当前场景是否可以PK	当前场景间隔多久减少一点杀气（0表示 不减少杀气 单位:秒）	杀人是否增加杀气	指定每周几的XX点XX分到XX点XX不加杀气（0不做此特殊处理 1周日 2周一 4周二 8周三 16周四 32周五 64周六 每周有好几天累加 比如6表示每周周二周三的这个时段）	指定每周几的XX点XX分到XX点XX不加杀气 开始时间（1259表示12点59）	指定每周几的XX点XX分到XX点XX不加杀气 结束时间（1259表示12点59）	场景是否可以使用XP技能	场景是否可组队跟随	场景是否可召集队伍	场景是否可以飞行	是否可以乘骑	是否可以用回血回蓝药
0	普通野外	1	600	1	0	0	0	1	1	1	1	1	1
1	主城	0	0	1	0	0	0	1	1	1	1	1	1
2	不加杀气野外	1	600	0	0	0	0	1	1	1	1	1	1
3	通用副本	0	0	0	0	0	0	0	1	1	0	1	1
4	任务相位（boss+小怪）	0	0	0	0	0	0	1	1	1	0	0	1
5	帮会属地	0	0	1	0	0	0	1	1	1	0	1	1
6	通用副本-不允许骑乘	0	0	0	0	0	0	0	0	0	0	0	1
7	监狱	1	90	0	0	0	0	0	0	0	0	1	1
8	通用PvP副本	0	0	0	0	0	0	0	0	0	0	0	1
9	婚礼场景	0	0	1	0	0	0	0	0	0	0	0	1
10	帮战场景	0	0	0	0	0	0	0	0	0	0	1	1
11	禁飞野外	1	600	1	0	0	0	1	1	1	0	1	1
12	任务相位（只有boss）	0	0	0	0	0	0	0	1	1	0	0	1
13	修真仙魔录（不允许吃药）	0	0	0	0	0	0	0	0	0	0	0	0
14	妖兽突袭专用	0	0	0	0	0	0	0	1	0	0	0	1
15	蛮荒	1	600	1	32	2050	2145	1	1	1	1	1	1
16	昆仑	1	600	1	32	2050	2145	1	1	1	1	1	1
17	跨服主城临时	0	0	1	0	0	0	1	1	1	1	1	1
18	跨服监狱	1	60	0	0	0	0	0	0	0	0	1	1
19	跨服野外	1	180	0	0	0	0	1	1	1	1	1	1
