Id	Desc	NeedMinLevel	NeedSkillId	NeedMinLayer	MinNeedFirstLayerAddPoint	MinNeedSecondLayerAddPoint	MinNeedThirdLayerAddPoint	MinNeedTotaddAddPoint	NextSkillId	MutexId	MaxLevBeforeSamsara	MaxLevSamsara	IsRecommendLevUp
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=999999;MAX_RECORD=9999;TableType=Hash;													
#本行程序不读 技能ID	描述	需要的等级	需要学会的技能（无则 填-1）	最小需要达到的技能阶数（1一阶 2二阶 3三阶）	需要一阶技能的最小加点数(不做限制则填-1)	需要二阶技能的最小加点数(不做限制则填-1)	需要三阶技能的最小加点数(不做限制则填-1)	需要的最小总加点数(不做限制则填-1)	升级获得的技能ID(无则填-1)	互斥集合ID（同时只能学会一种技能的配成同一个互斥ID -1表示不互斥）	飞升前的等级上限	飞升后的等级上限	是否推荐升级该技能（1推荐 0不推荐）
200	普攻-青云-0级	0	-1	1	0	-1	-1	-1	201	-1	15	22	1
201	普攻-青云-1级	1	-1	1	0	-1	-1	-1	202	-1	15	22	1
202	普攻-青云-2级	5	-1	1	0	-1	-1	-1	203	-1	15	22	1
203	普攻-青云-3级	8	-1	1	0	-1	-1	-1	204	-1	15	22	1
204	普攻-青云-4级	16	-1	1	0	-1	-1	-1	205	-1	15	22	1
205	普攻-青云-5级	19	-1	1	0	-1	-1	-1	206	-1	15	22	1
206	普攻-青云-6级	25	-1	1	0	-1	-1	-1	207	-1	15	22	1
207	普攻-青云-7级	31	-1	1	0	-1	-1	-1	208	-1	15	22	1
208	普攻-青云-8级	38	-1	1	0	-1	-1	-1	209	-1	15	22	1
209	普攻-青云-9级	43	-1	1	0	-1	-1	-1	210	-1	15	22	1
210	普攻-青云-10级	49	-1	1	0	-1	-1	-1	211	-1	15	22	1
211	普攻-青云-11级	55	-1	1	0	-1	-1	-1	212	-1	15	22	1
212	普攻-青云-12级	61	-1	1	0	-1	-1	-1	213	-1	15	22	1
213	普攻-青云-13级	67	-1	1	0	-1	-1	-1	214	-1	15	22	1
214	普攻-青云-14级	73	-1	1	0	-1	-1	-1	215	-1	15	22	1
215	普攻-青云-15级	79	-1	1	0	-1	-1	-1	216	-1	15	22	0
216	普攻-青云-16级	151	-1	1	0	-1	-1	-1	217	-1	15	22	0
217	普攻-青云-17级	159	-1	1	0	-1	-1	-1	218	-1	15	22	0
218	普攻-青云-18级	167	-1	1	0	-1	-1	-1	219	-1	15	22	0
219	普攻-青云-19级	176	-1	1	0	-1	-1	-1	220	-1	15	22	0
220	普攻-青云-20级	185	-1	1	0	-1	-1	-1	221	-1	15	22	0
221	普攻-青云-21级	194	-1	1	0	-1	-1	-1	222	-1	15	22	0
222	普攻-青云-22级	203	-1	1	0	-1	-1	-1	-1	-1	15	22	0
300	破魔剑诀-青云-0级	0	-1	1	0	-1	-1	-1	301	-1	13	22	1
301	破魔剑诀-青云-1级	2	-1	1	0	-1	-1	-1	302	-1	13	22	1
302	破魔剑诀-青云-2级	6	-1	1	0	-1	-1	-1	303	-1	13	22	1
303	破魔剑诀-青云-3级	11	-1	1	0	-1	-1	-1	304	-1	13	22	1
304	破魔剑诀-青云-4级	17	-1	1	0	-1	-1	-1	305	-1	13	22	1
305	破魔剑诀-青云-5级	23	-1	1	0	-1	-1	-1	306	-1	13	22	1
306	破魔剑诀-青云-6级	30	-1	1	0	-1	-1	-1	307	-1	13	22	1
307	破魔剑诀-青云-7级	37	-1	1	0	-1	-1	-1	308	-1	13	22	1
308	破魔剑诀-青云-8级	44	-1	1	0	-1	-1	-1	309	-1	13	22	0
309	破魔剑诀-青云-9级	51	-1	1	0	-1	-1	-1	310	-1	13	22	0
310	破魔剑诀-青云-10级	58	-1	1	0	-1	-1	-1	311	-1	13	22	0
311	破魔剑诀-青云-11级	65	-1	1	0	-1	-1	-1	312	-1	13	22	0
312	破魔剑诀-青云-12级	72	-1	1	0	-1	-1	-1	313	-1	13	22	0
313	破魔剑诀-青云-13级	79	-1	1	0	-1	-1	-1	314	-1	13	22	0
314	破魔剑诀-青云-14级	152	-1	1	0	-1	-1	-1	315	-1	13	22	0
315	破魔剑诀-青云-15级	160	-1	1	0	-1	-1	-1	316	-1	13	22	0
316	破魔剑诀-青云-16级	168	-1	1	0	-1	-1	-1	317	-1	13	22	0
317	破魔剑诀-青云-17级	177	-1	1	0	-1	-1	-1	318	-1	13	22	0
318	破魔剑诀-青云-18级	186	-1	1	0	-1	-1	-1	319	-1	13	22	0
319	破魔剑诀-青云-19级	195	-1	1	0	-1	-1	-1	320	-1	13	22	0
320	破魔剑诀-青云-20级	204	-1	1	0	-1	-1	-1	321	-1	13	22	0
321	破魔剑诀-青云-21级	213	-1	1	0	-1	-1	-1	322	-1	13	22	0
322	破魔剑诀-青云-22级	222	-1	1	0	-1	-1	-1	-1	-1	13	22	0
400	养生主-青云-0级	0	-1	1	1	-1	-1	-1	401	-1	17	22	1
401	养生主-青云-1级	3	-1	1	1	-1	-1	-1	402	-1	17	22	1
402	养生主-青云-2级	7	-1	1	1	-1	-1	-1	403	-1	17	22	1
403	养生主-青云-3级	12	-1	1	1	-1	-1	-1	404	-1	17	22	1
404	养生主-青云-4级	18	-1	1	1	-1	-1	-1	405	-1	17	22	1
405	养生主-青云-5级	24	-1	1	1	-1	-1	-1	406	-1	17	22	1
406	养生主-青云-6级	30	-1	1	1	-1	-1	-1	407	-1	17	22	1
407	养生主-青云-7级	36	-1	1	1	-1	-1	-1	408	-1	17	22	1
408	养生主-青云-8级	42	-1	1	1	-1	-1	-1	409	-1	17	22	1
409	养生主-青云-9级	48	-1	1	1	-1	-1	-1	410	-1	17	22	1
410	养生主-青云-10级	54	-1	1	1	-1	-1	-1	411	-1	17	22	1
411	养生主-青云-11级	60	-1	1	1	-1	-1	-1	412	-1	17	22	1
412	养生主-青云-12级	66	-1	1	1	-1	-1	-1	413	-1	17	22	0
413	养生主-青云-13级	72	-1	1	1	-1	-1	-1	414	-1	17	22	0
414	养生主-青云-14级	78	-1	1	1	-1	-1	-1	415	-1	17	22	0
415	养生主-青云-15级	84	-1	1	1	-1	-1	-1	416	-1	17	22	0
416	养生主-青云-16级	90	-1	1	1	-1	-1	-1	417	-1	17	22	0
417	养生主-青云-17级	96	-1	1	1	-1	-1	-1	418	-1	17	22	0
418	养生主-青云-18级	153	-1	1	1	-1	-1	-1	419	-1	17	22	0
419	养生主-青云-19级	161	-1	1	1	-1	-1	-1	420	-1	17	22	0
420	养生主-青云-20级	169	-1	1	1	-1	-1	-1	421	-1	17	22	0
421	养生主-青云-21级	178	-1	1	1	-1	-1	-1	422	-1	17	22	0
422	养生主-青云-22级	187	-1	1	1	-1	-1	-1	-1	-1	17	22	0
500	唤雷诀-青云-0级	0	-1	1	0	-1	-1	-1	501	-1	9	22	1
501	唤雷诀-青云-1级	4	-1	1	0	-1	-1	-1	502	-1	9	22	1
502	唤雷诀-青云-2级	9	-1	1	0	-1	-1	-1	503	-1	9	22	1
503	唤雷诀-青云-3级	14	-1	1	0	-1	-1	-1	504	-1	9	22	1
504	唤雷诀-青云-4级	20	-1	1	0	-1	-1	-1	505	-1	9	22	1
505	唤雷诀-青云-5级	26	-1	1	0	-1	-1	-1	506	-1	9	22	1
506	唤雷诀-青云-6级	33	-1	1	0	-1	-1	-1	507	-1	9	22	1
507	唤雷诀-青云-7级	41	-1	1	0	-1	-1	-1	508	-1	9	22	1
508	唤雷诀-青云-8级	50	-1	1	0	-1	-1	-1	509	-1	9	22	1
509	唤雷诀-青云-9级	60	-1	1	0	-1	-1	-1	510	-1	9	22	1
510	唤雷诀-青云-10级	155	-1	1	0	-1	-1	-1	511	-1	9	22	1
511	唤雷诀-青云-11级	161	-1	1	0	-1	-1	-1	512	-1	9	22	1
512	唤雷诀-青云-12级	167	-1	1	0	-1	-1	-1	513	-1	9	22	1
513	唤雷诀-青云-13级	173	-1	1	0	-1	-1	-1	514	-1	9	22	1
514	唤雷诀-青云-14级	179	-1	1	0	-1	-1	-1	515	-1	9	22	1
515	唤雷诀-青云-15级	185	-1	1	0	-1	-1	-1	516	-1	9	22	1
516	唤雷诀-青云-16级	191	-1	1	0	-1	-1	-1	517	-1	9	22	1
517	唤雷诀-青云-17级	197	-1	1	0	-1	-1	-1	518	-1	9	22	1
518	唤雷诀-青云-18级	203	-1	1	0	-1	-1	-1	519	-1	9	22	1
