Id	Desc	Name	CardDesc	ShowIndex	Introduction	Quality	InitLevel	HeadIconAtlas	HeadIconName	BigTexName	IconTexName	MaskTexName	CardToFragmentCount	StuffToFragmentCount	FragmentToStuffCount	CardDivToStuffCount	FragmentDivToStuffCount	AttrType_1	AttrValueID_1	AttrType_2	AttrValueID_2	AttrType_3	AttrValueID_3	AttrType_4	AttrValueID_4	AffectionName_1	AffectionDesc_1	AffectionConditonValue_1	AffectionGainsType_1	AffectionGainsValue_1	AffectionName_2	AffectionDesc_2	AffectionConditonValue_2	AffectionGainsType_2	AffectionGainsValue_2	AffectionName_3	AffectionDesc_3	AffectionConditonValue_3	AffectionGainsType_3	AffectionGainsValue_3	AffectionName_4	AffectionDesc_4	AffectionConditonValue_4	AffectionGainsType_4	AffectionGainsValue_4	TrainAttr_1	TrainAttr_2	TrainAttr_3	TrainAttr_4	TrainAttr_5	TrainAttr_6	TrainAttr_7	TrainAttr_8	TrainAttrWeight_1	TrainAttrWeight_2	TrainAttrWeight_3	TrainAttrWeight_4	TrainAttrWeight_5	TrainAttrWeight_6	TrainAttrWeight_7	TrainAttrWeight_8	TrainLove_1	TrainLove_2	TrainLove_3	TrainLove_4	TrainLove_5	TrainLove_6	TrainLove_7	TrainLove_8	TrainLoveWeight_1	TrainLoveWeight_2	TrainLoveWeight_3	TrainLoveWeight_4	TrainLoveWeight_5	TrainLoveWeight_6	TrainLoveWeight_7	TrainLoveWeight_8	CombatStar_1	CombatStar_2	CombatStar_3	CombatStar_4	GetWay
INT	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=10000;MAX_RECORD=500;TableType=Hash;																																																																																		
#本行程序不读	描述	名称	卡片描述	显示序列	介绍	品质	初始等级	头像所在图集	方的图片（在Icon图集)	大图图片	圆的图片	圆的图片	卡片拆解成碎片的数量	灵尘合成碎片需要的数量	碎片拆成灵尘的数量	整卡拆解灵尘数量	碎片拆解灵尘数量	属性类型1	属性值ID1	属性类型2	属性值ID2	属性类型3	属性值ID3	属性类型4	属性值ID4	情缘名称1	情缘描述1	情缘条件值1	情缘增益1	情缘增益值1	情缘名称2	情缘描述2	情缘条件值2	情缘增益2	情缘增益值2	情缘名称3	情缘描述3	情缘条件值3	情缘增益3	情缘增益值3	情缘名称4	情缘描述4	情缘条件值4	情缘增益4	情缘增益值4	洗练属性ID1	洗练属性ID2	洗练属性ID3	洗练属性ID4	洗练属性ID5	洗练属性ID6	洗练属性ID7	洗练属性ID8	洗练属性1权重	洗练属性2权重	洗练属性3权重	洗练属性4权重	洗练属性5权重	洗练属性6权重	洗练属性7权重	洗练属性8权重	洗练情缘1	洗练情缘2	洗练情缘3	洗练情缘4	洗练情缘5	洗练情缘6	洗练情缘7	洗练情缘8	洗练情缘1权重	洗练情缘2权重	洗练情缘3权重	洗练情缘4权重	洗练情缘5权重	洗练情缘6权重	洗练情缘7权重	洗练情缘8权重	2星起始战力	3星起始战力	4星起始战力	5星起始战力	获得途径(1、商店-奇物2、兑换-仙灵值3、兑换-荣誉值4、兑换-帮贡值5、活动-镇魔古洞（70级）6、活动-兽神之叹（60级）7、烛龙8、兑换-神武通宝9、每日抽奖10、破凶咒)
1	鬼厉	鬼厉	鬼厉合成/升阶需要收集[e35609][鬼厉碎片][-]和[灵尘]#r◇[e35609][鬼厉碎片][-]：兽神之叹掉落#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	1		3	1	Icon	zhenling_guili	Texture/Spirits/Card/zhenling_guili_card	Texture/Spirits/Head/zhenling_guili_tx	Texture/Spirits/ZheZhao/guili	50	50	20	1000	20	5	48	6	49	12	55	7	50	暴神之怒	暴神之怒：与鬼王同时上阵，气血+112700	3	0	112700	种因得果	种因得果：与道玄真人同时上阵，暴伤加成+1000	2	11	1000	故剑情深	故剑情深：与陆雪琪同时上阵，命中+10840	7	7	10840	情撼九天	情撼九天：与碧瑶同时上阵，暴击+10840	8	9	10840	38	45	41	43	48	-1	-1	-1	11	11	26	26	26	0	0	0	1	101	201	301	401	501	-1	-1	17	17	17	17	17	17	0	0	915	1830	7246	16908	6
2	道玄真人	道玄真人	道玄真人合成/升阶需要收集[e35609][道玄真人碎片][-]和[灵尘]#r◇[e35609][道玄真人碎片][-]：vip赠送/荣誉值兑换/开启[道玄真人福袋]奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	2		3	1	Icon	zhenling_daoxuan	Texture/Spirits/Card/zhenling_daoxuan_card	Texture/Spirits/Head/zhenling_daoxuan_tx	Texture/Spirits/ZheZhao/daoxuanzhenren	50	50	20	1000	20	5	48	6	49	12	55	8	51	种因得果	种因得果：与鬼厉同时上阵，防御+3220	1	6	3220	师道尊严	师道尊严：与陆雪琪同时上阵，攻击+3220	7	5	3220	传道授业	传道授业：与林惊羽同时上阵，气血+112700	6	0	112700	道法自然	道法自然：与田不易同时上阵，命中+10840	10	7	10840	37	39	41	43	48	-1	-1	-1	11	11	26	26	26	0	0	0	2	102	202	302	402	502	-1	-1	17	17	17	17	17	17	0	0	970	1940	13005	30347	3
3	鬼王	鬼王	鬼王合成/升阶需要收集[e35609][鬼王碎片][-]和[灵尘]#r◇[e35609][鬼王碎片][-]：每日抽奖奖励/开启[鬼王福袋]奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	3		3	1	Icon	zhenling_guiwang	Texture/Spirits/Card/zhenling_guiwang_card	Texture/Spirits/Head/zhenling_guiwang_tx	Texture/Spirits/ZheZhao/guiwang	50	50	20	1000	20	5	48	0	46	11	54	9	52	暴神之怒	暴神之怒：与鬼厉同时上阵，命中+10840	1	7	10840	众魔之首	众魔之首：与毒神同时上阵，防御+3220	4	6	3220	旧时故交	旧时故交：与周一仙同时上阵，暴伤减免+2000	9	12	2000	烈焰焚情	烈焰焚情：与碧瑶同时上阵，躲闪+4330	8	8	4330	38	40	41	42	44	-1	-1	-1	11	11	26	26	26	0	0	0	3	103	203	303	403	503	-1	-1	17	17	17	17	17	17	0	0	1053	2107	13068	30493	9
4	毒神	毒神	毒神合成/升阶需要收集[e35609][毒神碎片][-]和[灵尘]#r◇[e35609][毒神碎片][-]：镇魔古洞普通以上难度掉落#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	4		3	1	Icon	zhenling_dushen	Texture/Spirits/Card/zhenling_dushen_card	Texture/Spirits/Head/zhenling_dushen_tx	Texture/Spirits/ZheZhao/dushen	50	50	20	1000	20	5	48	0	46	11	54	10	53	众魔之首	众魔之首：与鬼王同时上阵，气血+112700	3	0	112700	独缺一卦	独缺一卦：与周一仙同时上阵，暴伤减免+2000	9	12	2000	人情纸薄	人情纸薄：与金瓶儿同时上阵，真气+20080	13	1	20080	有教无类	有教无类：与秦无炎同时上阵，全抗性+8000	18	28	8000	39	46	44	47	48	-1	-1	-1	11	11	26	26	26	0	0	0	4	104	204	304	404	504	-1	-1	17	17	17	17	17	17	0	0	891	1782	12946	30209	5
5	张小凡	张小凡	张小凡合成/升阶需要收集[cc00ff][张小凡碎片][-]和[灵尘]#r◇[cc00ff][张小凡碎片][-]：主线任务奖励/活跃度奖励/每日抽奖奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	21		2	1	Icon	zhenling_zhangxiaofan	Texture/Spirits/Card/zhenling_zhangxiaofan_card	Texture/Spirits/Head/zhenling_zhangxiaofan_tx	Texture/Spirits/ZheZhao/zhangxiaofan	50	40	12	600	12	5	33	6	34	11	39	7	35	曾经沧海	曾经沧海：与陆雪琪同时上阵，攻击+2900	7	5	2900	绾角兄弟	绾角兄弟：与林惊羽同时上阵，气血+101400	6	0	101400	言传身教	言传身教：与田不易同时上阵，命中+9760	10	7	9760	山海痴心	山海痴心：与碧瑶同时上阵，躲闪+3900	8	8	3900	26	33	29	31	36	-1	-1	-1	11	11	26	26	26	0	0	0	5	105	205	305	405	505	-1	-1	17	17	17	17	17	17	0	0	823	1647	11668	27225	-1
6	林惊羽	林惊羽	林惊羽合成/升阶需要收集[cc00ff][林惊羽碎片][-]和[灵尘]#r◇[cc00ff][林惊羽碎片][-]：荣誉值兑换#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	25		2	1	Icon	zhenling_linjingyu	Texture/Spirits/Card/zhenling_linjingyu_card	Texture/Spirits/Head/zhenling_linjingyu_tx	Texture/Spirits/ZheZhao/linjingyu	50	40	12	600	12	5	33	0	31	1	32	8	36	传道授业	传道授业：与道玄真人同时上阵，真气+18070	2	1	18070	绾角兄弟	绾角兄弟：与张小凡同时上阵，防御+2900	5	6	2900	一念成魔	一念成魔：与普智同时上阵，躲闪+3900	11	8	3900	辅车相依	辅车相依：与齐昊同时上阵，全抗性+7200	14	28	7200	27	34	32	35	36	-1	-1	-1	11	11	26	26	26	0	0	0	6	106	206	306	406	506	-1	-1	17	17	17	17	17	17	0	0	802	1604	8579	20018	3
7	陆雪琪	陆雪琪	陆雪琪合成/升阶需要收集[cc00ff][陆雪琪碎片][-]和[灵尘]#r◇[cc00ff][陆雪琪碎片][-]：帮贡兑换#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	22		2	1	Icon	zhenling_luxueqi	Texture/Spirits/Card/zhenling_luxueqi_card	Texture/Spirits/Head/zhenling_luxueqi_tx	Texture/Spirits/ZheZhao/luxueqi	50	40	12	600	12	5	33	6	34	11	39	9	37	师道尊严	师道尊严：与道玄真人同时上阵，暴伤加成+900	2	11	900	曾经沧海	曾经沧海：与张小凡同时上阵，防御+2900	5	6	2900	相呴以湿	相呴以湿：与曾书书同时上阵，暴击+9760	15	9	9760	矢志不渝	矢志不渝：与碧瑶同时上阵，躲闪+3900	8	8	3900	25	27	29	31	36	-1	-1	-1	11	11	26	26	26	0	0	0	7	107	207	307	407	507	-1	-1	17	17	17	17	17	17	0	0	873	1746	8632	20142	4
