Id	Desc	SpeakerID	TarSceneID	TarPosX	TarPosZ	TarPosRadius	Content	LifeTime	IsCanSkip	SoundID
INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	STRING	FLOAT	INT	INT
#										
#id唯一标示	策划维护，程序不读	说话者ID（-1为玩家）	目标场景ID	目标X坐标	目标Z坐标	距离目标半径	剧情内容	文字显示完成后翻页时间	是否可跳过	声音id
1	何去何从-正	-1	3	8.85	66.51	2	咦，你是大竹峰门下的小凡师兄吧！魔教来势太猛，我们还是快去守住通天峰吧。	8	1	-1
		4					掌门真人和师父还会原谅我么，为什么？为什么，我日夜想报仇之人竟会是他！	8	1	-1
		-1					...你在说什么？！	5	1	-1
		4					我信守诺言，对当年之事只字不提......可是那个我敬之如父的人	7	1	-1
		4					即使因此触犯了戒条，违抗了掌门之命...我也甘愿受罚！可是他为什么如此对我！！！	8	1	-1
2	何去何从-魔	-1	3	8.85	66.51	2	方才多谢...？！你是青云门的人？	6	1	-1
		4					你不必如此戒备，也许过了今日青云门便没有我这个弟子了......	7	1	-1
		-1					即便如此，青云与圣教为敌...自然是不两立的。	7	1	-1
		4					（小凡苦笑一声）我也曾这般认为......	6	1	-1
		4					你刚才在救人，我若出手伤你，又岂是正道所为。	7	1	-1
3	首登剧情	16	3	21.26	67.75	2	醒醒，醒醒......	5	1	-1
		-1					谁在说话？	5	1	-1
		16					你是谁？为何会在这里？	5	1	-1
		-1					我？我记得，青云山，诛仙现世...死了好多人，我...我是谁？	5	1	-1
		16					爷爷，这人好像失忆了...	5	1	-1
		15					这人定是在青云山上受了重创，还是等他醒过来吧...	5	1	-1
4	主线-周大仙人	15	5	21.24	66.45	2	（老者一抖袖袍，仙骨气扑面而来）老夫乃青天神算周一仙，今日看你我有缘，所以欲为你解惑~	5	1	-1
		-1					原来是位相师！晚辈正有一事不解，想请先生给看看...	5	1	-1
		15					咳咳，不瞒你说，老夫当年出道时，曾立下为人看相必定收钱的规矩...不多，就十两纹银~...	5	1	-1
		16					（旁边传来一声叱呵）爷爷！你怎的快钻进钱眼子里去了吧！	5	1	-1
5	主线-忘却旧事	16	5	21.26	67.75	2	爷爷先前替你号过脉，说你是修真之人，想来还是底子好受的也是皮外伤，短短几日便恢复了！	5	1	-1
		-1					小环姑娘见外了，之前是你和老先生救了我，如今你们有难我自然是要帮忙的！	5	1	-1
		16					对了，之前记得你似乎是有什么难题要请教爷爷，不知道我能不能也帮上什么忙？	5	1	-1
		-1					说来也是奇怪，自打醒过来，身体倒是没什么大碍，但以前的事却是记不清楚了...所以觉得困惑。	5	1	-1
		16					（皱了皱眉）我曾听人说过，这症状当是受了什么刺激，激荡了心神，恢复之后不愿意再想起。	5	1	-1
6	主线-双双伊人	44	5	11.89	104.06	2	就说这青云门，平日蒙其庇佑，其弟子下山也常来这儿歇脚。您别说，这修真之人也是有别的。	5	1	-1
		-1					哦？竟是不出手就能辨别出来么？！	5	1	-1
		44					那可不！那天来的四位，当头的一看就是气度非凡，那个姑娘更是绝世容颜，叫人不敢亵渎。	5	1	-1
