Id	Desc	ScriptID	StoryID
INT	STRING	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;TableType=Hash;			
#id唯一标示	策划维护，程序不读	脚本ID	StoryContent.txt表ID
1	何去何从-正	-1	1
2	何去何从-魔	-1	2
3	主线-周大仙人	-1	4
4	主线-忘却旧事	-1	5
5	主线-双双伊人	-1	6
6	主线-闲话一二	-1	7
7	主线-当头冷水	-1	8
8	主线-话起争端	-1	9
9	主线-来龙去脉	-1	10
10	主线-诛仙为引	-1	11
11	主线-恩怨俱结	-1	12
12	主线-真真假假	-1	13
13	主线-旧时衣物	-1	14
14	主线-字字珠玑	1020	15
15	主线-山魈之祸	-1	16
16	主线-首座之怨	-1	17
17	主线-欲言又止	-1	18
18	主线-有意为之	-1	19
19	主线-闭关歇息	-1	20
20	主线-师父心结	-1	21
21	主线-众人之意	-1	22
22	主线-曾经旧友	-1	23
23	主线-深受其害	-1	24
24	主线-心中顾虑	-1	25
25	主线-善恶一念	-1	26
26	主线-昔日渊源	-1	27
27	主线-佛家之意	-1	28
28	主线-空桑历练	-1	29
29	主线-六合宝镜	-1	30
30	主线-掌门心思	-1	31
31	主线-师兄关怀	-1	32
32	主线-口舌之好	-1	33
33	主线-断袖之癖	-1	34
34	主线-深感危机	-1	35
35	主线-亲传弟子	-1	36
36	主线-合欢之意	-1	37
37	主线-必修之课	-1	38
38	主线-陈年旧事	-1	39
39	主线-沧海飞燕	-1	40
40	主线-互相关照	-1	41
41	主线-惹祸上身	-1	42
42	主线-若有所思	-1	43
43	主线-了解情况	-1	44
44	主线-旧时渊源	-1	45
45	主线-痴情厉咒	-1	46
46	主线-凌波玉箫	-1	47
47	主线-佛法无边	-1	48
48	主线-我佛慈悲	-1	49
49	主线-众生平等	-1	50
50	主线-佛祖慈悲	-1	51
51	主线-心有所向	-1	52
52	主线-婆娑苦境	-1	-1
53	主线-施法补救	-1	53
54	主线-噬血来历	-1	54
55	主线-弟子未归	-1	55
56	主线-了解情况	-1	56
57	主线-惹事师妹	-1	57
58	主线-压制之法	-1	58
59	主线-空桑事发	-1	59
60	主线-轮回佛珠	-1	60
61	主线-灵芝妙药	-1	61
62	主线-善意谎言	-1	62
63	主线-掌门之意	-1	63
64	主线-鬼厉之名	-1	64
65	主线-狐岐渊源	-1	65
66	主线-另寻他法	-1	66
67	主线-命是无缘	-1	67
68	主线-自负无能	-1	68
69	主线-当断即断	-1	69
70	主线-魂牵梦萦	-1	70
71	主线-朱雀之劝	-1	71
72	主线-死灰复燃	-1	72
73	主线-朱雀灵印	-1	73
74	青云首登	3309	74
75	天音首登	3309	75
76	鬼王首登	3309	76
77	合欢首登	3309	77
78	河阳支线-以身说法	-1	78
79	河阳支线-破解之术	-1	79
80	河阳支线-不情不愿	-1	80
81	河阳支线-貌美如花	-1	81
82	河阳支线-生辰八字	-1	82
83	河阳支线-胸无大志	-1	83
84	空桑山-初探炼血	-1	84
85	空桑山-炼血死敌	-1	85
86	空桑山-相争空桑	-1	86
87	空桑山-暗流涌动	-1	87
88	空桑山-人模狗样	-1	88
89	空桑山-白衣飘飘-青云	-1	89
90	空桑山-白衣飘飘-天音	-1	90
91	空桑山-白衣飘飘-鬼王	-1	91
92	空桑山-白衣飘飘-合欢	-1	92
93	空桑山-冒险卧底	-1	93
94	空桑山-再遇师姐	-1	94
95	空桑山-追忆往事	-1	95
96	空桑山-小池遇难	-1	96
97	{0}熟络同门	-1	97
98	{0}神魔异志	-1	98
99	{0}担心师弟	-1	99
100	{0}剑曰斩龙	-1	100
101	{0}醍醐灌顶	-1	101
102	{0}淬火回火	-1	102
103	{0}祭奠亡灵	-1	103
104	天音支线-佛迹玉壁	-1	104
105	天音支线-谆谆教诲	-1	105
106	天音支线-新鲜玩意	-1	106
107	天音支线-同门情谊	-1	107
