Id	Desc	MaxHP	MaxMP	Attack	Defense	Hit	Dodge	Critical	Decritical	CritDamageAdd	CritDamageDec	DizzyAttack	CharmAttack	LethargyAttack	HaltAttack	DizzyDef	CharmDef	LethargyDef	HaltDef	AllDebuffAtt	AllDebuffDef
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=9999;MAX_RECORD=500;																					
#ID	描述(程序不读)	气血上限	真气上限	攻击	防御	命中	躲闪	暴击	暴抗	暴击加成	暴击减免	眩晕精通	魅惑精通	昏睡精通	定身精通	眩晕抗性	魅惑抗性	昏睡抗性	定身抗性	全精通	全抗性
1	VIP1称号	1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	VIP2称号	1690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	VIP3称号	2320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	VIP4称号	2950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	VIP5称号	3590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	VIP6称号	4220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	VIP7称号	5280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	VIP8称号	6750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	VIP9称号	8020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	VIP10称号	11400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	VIP11称号	14770	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	VIP12称号	18912	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	VIP13称号	23544	0	0	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	VIP14称号	29540	0	1260	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	VIP15称号	39504	0	1680	1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	VIP16称号	53820	0	2310	1530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	VIP17称号	98100	0	4200	2800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	VIP18称号	211000	0	9000	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	战力达10W	1270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	战力达30W	2950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	战力达50W	4640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	战力达80W	6330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	战力达100W	7810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	战力达200W	9500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	战力达250W	11180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	战力达300W	12870	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	战力达400W	14560	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	战力达500W	16250	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	战力达600W	17720	0	790	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	战力达800W	19410	0	850	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	战力达1000W	21100	0	900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	镇魔古洞难度2	0	0	540	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0
33	镇魔古洞难度3	0	0	860	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0
34	镇魔古洞难度4	0	0	1170	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0
35	镇魔古洞难度5	0	0	1490	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0
36	镇魔古洞难度6	0	0	1800	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0
37	天帝宝库封印1	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	天帝宝库封印2	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
