Id	Desc	Name	ScriptId	IsSkillUse	SkillId	ConsumeFlag	CoolDownId	CoolDownNoticeLeftTime	CanUseInBW	UseParamA	UseParamB	UseParamC	UseParamD
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=10240;TableType=Hash;													
#ID	程序不读	物品名称	脚本ID	是否读条	读条技能	0：使用不销毁 1：使用后销毁2：使用后调用脚本的消耗函数	冷却Id(CoolDownTime.txt)	冷却中提示是否显示剩余时间（精确到秒）（1显示 0不显示）	是否可以在大世界使用，涉及到全局掉落的福袋是不可以在大世界使用的	附加参数1	附加参数2	附加参数3	附加参数4
36	测试用-宠物蛋	测试宠物蛋	208	0	-1	1	-1	0	1	39	-1	-1	-1
44	30级体验宝箱	掌柜体验箱[30级]	216	0	-1	1	-1	0	1	5	0	0	0
45	30级青云体验宝箱	青云体验箱[30级]	216	0	-1	1	-1	0	1	6	0	0	0
46	30级天音体验宝箱	天音体验箱[30级]	216	0	-1	1	-1	0	1	7	0	0	0
47	30级鬼王体验宝箱	鬼王体验箱[30级]	216	0	-1	1	-1	0	1	8	0	0	0
48	30级合欢体验宝箱	合欢体验箱[30级]	216	0	-1	1	-1	0	1	9	0	0	0
49	法宝集合箱	法宝集合箱	216	0	-1	1	-1	0	1	100	0	0	0
50	初级法宝箱	初级法宝箱	216	0	-1	1	-1	0	1	101	0	0	0
51	中级法宝箱	中级法宝箱	216	0	-1	1	-1	0	1	102	0	0	0
52	高级法宝箱	高级法宝箱	216	0	-1	1	-1	0	1	103	0	0	0
53	高级特殊法宝箱	高级特殊法宝箱	216	0	-1	1	-1	0	1	104	0	0	0
54	时装集合箱		216	0	-1	1	-1	0	1	129	0	0	0
55	新手时装7天箱		216	0	-1	1	-1	0	1	130	0	0	0
56	新手时装30天箱		216	0	-1	1	-1	0	1	131	0	0	0
57	新手时装永久箱		216	0	-1	1	-1	0	1	132	0	0	0
58	新手武器7天箱		216	0	-1	1	-1	0	1	133	0	0	0
59	新手武器30天箱		216	0	-1	1	-1	0	1	134	0	0	0
60	新手武器永久箱		216	0	-1	1	-1	0	1	135	0	0	0
61	额外时装1号箱		216	0	-1	1	-1	0	1	136	0	0	0
62	额外时装2号箱		216	0	-1	1	-1	0	1	137	0	0	0
63	额外时装3号箱		216	0	-1	1	-1	0	1	138	0	0	0
64	额外时装4号箱		216	0	-1	1	-1	0	1	139	0	0	0
65	额外时装5号箱		216	0	-1	1	-1	0	1	140	0	0	0
66	新主角时装箱	新主角时装箱	216	0	-1	1	-1	0	1	146	0	0	0
67	首次随机测试箱	首次随机测试箱	216	0	-1	1	-1	0	1	286	0	0	0
68	5次随机测试箱	3次随机测试箱	216	0	-1	1	-1	0	1	286	0	0	0
69	5次珍贵测试箱	3次珍贵测试箱	216	0	-1	1	-1	0	1	286	0	0	0
70	星魂测试包	星魂测试包	216	0	-1	1	-1	0	1	302	0	0	0
100	动态经验丹	经验丹	230	0	-1	1	-1	0	1	0	0	0	0
101	1w经验丹，用于客服补偿，请勿放出	经验补偿丹	245	0	-1	1	-1	0	1	10000	0	0	0
