Id	Desc	TabIndex	ItemId	Stack	Price	Discount	OnSale	SellStart	SellEnd	IsRecommend	IsPrecious	IsSell	IsPresent	FriendPointReq	VipLevelVisible	VipLevelBuy	SaveIndex	ShowSort	RecommendSort
INT	STRING	INT	INT	INT	INT	INT	INT	INT64	INT64	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=9999;MAX_RECORD=9999;																			
#ID	描述(程序不读)	分页（1宠物 2宝石 3坐骑 4VIP 5杂货 6炼器 7灌注 8法宝 9时装 10面部 11雕琢 12星魂 13幻灵石）	物品ID	堆叠数量	价格	折扣价	是否打折	出售起始时间	出售结束时间	是否推荐	是否是精品	是否出售	是否可以赠送	赠送需要友好度	可视VIP等级（目前只在VIP分页生效）	可购买VIP等级（目前只在VIP分页生效）	定期限购存储索引（0~29 不限购填-1）	显示顺序（-1按id显示 0往上越小越靠前显示）	推荐页排序，只在推荐页生效（-1按id显示 0往上越小越靠前显示）
1	炼器符	6	3000	1	10	10	0	-1	-1	1	0	1	0	0	-1	-1	-1	201	11
2	吉星符	6	3200	1	200	200	0	-1	-1	1	0	1	0	0	-1	-1	-1	202	12
3	完璧符	6	3100	1	10	10	0	-1	-1	1	0	1	0	0	-1	-1	-1	203	13
4	初级物华天宝	8	4002	1	13	13	0	-1	-1	1	0	1	0	0	-1	-1	-1	401	24
5	中级物华天宝	8	4003	1	130	130	0	-1	-1	0	0	1	0	0	-1	-1	-1	402	-1
6	高级物华天宝	8	4004	1	910	910	0	-1	-1	0	0	1	0	0	-1	-1	-1	403	-1
7	真魂赦令	8	4006	1	10	10	0	-1	-1	0	0	1	0	0	-1	-1	-1	404	-1
8	灵宝密尘	8	4005	1	6	6	0	-1	-1	0	0	1	0	0	-1	-1	-1	405	-1
9	金梵法器	8	4000	1	200	200	0	-1	-1	0	0	1	0	0	-1	-1	-1	412	-1
10	捕兽夹	1	15000	1	24	24	0	-1	-1	0	1	1	0	0	-1	-1	-1	501	-1
11	九转幻魂丹	1	15100	1	10	10	0	-1	-1	0	1	1	0	0	-1	-1	-1	502	-1
12	仙豆	1	15300	1	60	60	0	-1	-1	0	1	1	0	0	-1	-1	-1	503	-1
13	宝石降级符	5	1501	1	500	500	0	-1	-1	0	0	1	0	0	-1	-1	-1	1014	-1
14	益血符	7	3300	1	3	3	0	-1	-1	1	0	1	0	0	-1	-1	-1	301	21
15	真气符	7	3301	1	3	3	0	-1	-1	0	0	1	0	0	-1	-1	-1	302	-1
16	利矛符	7	3302	1	3	3	0	-1	-1	1	0	1	0	0	-1	-1	-1	303	22
17	坚盾符	7	3303	1	3	3	0	-1	-1	1	0	1	0	0	-1	-1	-1	304	23
18	缥缈符	7	3304	1	3	3	0	-1	-1	0	0	1	0	0	-1	-1	-1	305	-1
19	鹰眼符	7	3305	1	3	3	0	-1	-1	0	0	1	0	0	-1	-1	-1	306	-1
20	虎翼符	7	3306	1	3	3	0	-1	-1	0	0	1	0	0	-1	-1	-1	307	-1
21	龟甲符	7	3307	1	3	3	0	-1	-1	0	0	1	0	0	-1	-1	-1	308	-1
22	凤羽符	7	3308	1	3	3	0	-1	-1	0	0	1	0	0	-1	-1	-1	309	-1
23	龙鳞符	7	3309	1	3	3	0	-1	-1	0	0	1	0	0	-1	-1	-1	310	-1
24	极品益血符	7	3320	1	10	10	0	-1	-1	0	0	1	0	0	-1	-1	-1	311	-1
25	极品真气符	7	3321	1	10	10	0	-1	-1	0	0	1	0	0	-1	-1	-1	312	-1
26	极品利矛符	7	3322	1	10	10	0	-1	-1	0	0	1	0	0	-1	-1	-1	313	-1
27	极品坚盾符	7	3323	1	10	10	0	-1	-1	0	0	1	0	0	-1	-1	-1	314	-1
28	极品缥缈符	7	3324	1	10	10	0	-1	-1	0	0	1	0	0	-1	-1	-1	315	-1
29	极品鹰眼符	7	3325	1	10	10	0	-1	-1	0	0	1	0	0	-1	-1	-1	316	-1
30	极品虎翼符	7	3326	1	10	10	0	-1	-1	0	0	1	0	0	-1	-1	-1	317	-1
31	极品龟甲符	7	3327	1	10	10	0	-1	-1	0	0	1	0	0	-1	-1	-1	318	-1
32	极品凤羽符	7	3328	1	10	10	0	-1	-1	0	0	1	0	0	-1	-1	-1	319	-1
33	极品龙鳞符	7	3329	1	10	10	0	-1	-1	0	0	1	0	0	-1	-1	-1	320	-1
34	神品益血符	7	3340	1	46	46	0	-1	-1	0	0	1	0	0	-1	-1	-1	321	-1
35	神品真气符	7	3341	1	46	46	0	-1	-1	0	0	1	0	0	-1	-1	-1	322	-1
36	神品利矛符	7	3342	1	46	46	0	-1	-1	0	0	1	0	0	-1	-1	-1	323	-1
37	神品坚盾符	7	3343	1	46	46	0	-1	-1	0	0	1	0	0	-1	-1	-1	324	-1
38	神品缥缈符	7	3344	1	46	46	0	-1	-1	0	0	1	0	0	-1	-1	-1	325	-1
39	神品鹰眼符	7	3345	1	46	46	0	-1	-1	0	0	1	0	0	-1	-1	-1	326	-1
40	神品虎翼符	7	3346	1	46	46	0	-1	-1	0	0	1	0	0	-1	-1	-1	327	-1
41	神品龟甲符	7	3347	1	46	46	0	-1	-1	0	0	1	0	0	-1	-1	-1	328	-1
42	神品凤羽符	7	3348	1	46	46	0	-1	-1	0	0	1	0	0	-1	-1	-1	329	-1
43	神品龙鳞符	7	3349	1	46	46	0	-1	-1	0	0	1	0	0	-1	-1	-1	330	-1
44	元运断金石(1级)	2	5000	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	811	-1
45	醒神断金石(1级)	2	5100	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	812	-1
46	培元断金石(1级)	2	5200	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	813	-1
47	混沌断金石(1级)	2	5300	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	814	-1
48	夺魄断金石(1级)（暂不放出）	2	5400	1	5	5	0	-1	-1	0	0	0	0	0	-1	-1	-1	815	-1
49	渡劫金刚石(1级)	2	5500	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	816	-1
50	三味金刚石(1级)	2	5600	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	817	-1
51	神行金刚石(1级)	2	5700	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	818	-1
52	天心金刚石(1级)	2	5800	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	819	-1
53	避尘金刚石(1级)（暂不放出）	2	5900	1	5	5	0	-1	-1	0	0	0	0	0	-1	-1	-1	820	-1
54	强震断金石(1级)	2	6000	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	821	-1
55	摄心断金石(1级)	2	6100	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	822	-1
56	御魂断金石(1级)	2	6200	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	823	-1
57	万钧断金石(1级)	2	6300	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	824	-1
58	强震金刚石(1级)	2	6400	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	825	-1
59	摄心金刚石(1级)	2	6500	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	826	-1
60	御魂金刚石(1级)	2	6600	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	827	-1
61	万钧金刚石(1级)	2	6700	1	5	5	0	-1	-1	0	0	1	0	0	-1	-1	-1	828	-1
62	元运断金石(3级)	2	5002	1	38	38	0	-1	-1	1	0	1	0	0	-1	-1	-1	829	41
63	醒神断金石(3级)	2	5102	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	830	-1
64	培元断金石(3级)	2	5202	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	831	-1
65	混沌断金石(3级)	2	5302	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	832	-1
66	夺魄断金石(3级)（暂不放出）	2	5402	1	38	38	0	-1	-1	0	0	0	0	0	-1	-1	-1	833	-1
67	渡劫金刚石(3级)	2	5502	1	38	38	0	-1	-1	1	0	1	0	0	-1	-1	-1	834	42
68	三味金刚石(3级)	2	5602	1	38	38	0	-1	-1	1	0	1	0	0	-1	-1	-1	835	43
69	神行金刚石(3级)	2	5702	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	836	-1
70	天心金刚石(3级)	2	5802	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	837	-1
71	避尘金刚石(3级)（暂不放出）	2	5902	1	38	38	0	-1	-1	0	0	0	0	0	-1	-1	-1	838	-1
72	强震断金石(3级)	2	6002	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	839	-1
73	摄心断金石(3级)	2	6102	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	840	-1
74	御魂断金石(3级)	2	6202	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	841	-1
75	万钧断金石(3级)	2	6302	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	842	-1
76	强震金刚石(3级)	2	6402	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	843	-1
77	摄心金刚石(3级)	2	6502	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	844	-1
78	御魂金刚石(3级)	2	6602	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	845	-1
79	万钧金刚石(3级)	2	6702	1	38	38	0	-1	-1	0	0	1	0	0	-1	-1	-1	846	-1
80	元运断金石(6级)	2	5005	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	847	-1
