Id	Description	Name	Level	Prof	Sex	SkillstrategyIndex	CombatAttrIndex	CombatNum	Grade	Type	EnhanceId1	EnhanceId2	EnhanceId3	EnhanceId4	EnhanceId5	EnhanceId6
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=4096;MAX_RECORD=4096;TableType=Hash;																
#角色ID(与RoleBaseAttr.txt一致)	描述（程序不读）	名称	等级	职业	性别	技能选择策略	战斗属性索引（对应NpcInitialCombatAttr表格）	战力	难度	类型	对应RoleBaseAttrEnhance中ID：副本属性自适应（等级1-30）	对应RoleBaseAttrEnhance中ID：副本属性自适应（等级31-60）	对应RoleBaseAttrEnhance中ID：副本属性自适应（等级61-100）	对应RoleBaseAttrEnhance中ID：副本属性自适应（等级101-150）	对应RoleBaseAttrEnhance中ID：副本属性自适应（等级151-200）	对应RoleBaseAttrEnhance中ID：副本属性自适应（等级201-251）
89	修真仙魔录-青云	钟景云	40	0	0	5	140	2000	-1	-1	-1	-1	-1	-1	-1	-1
90	修真仙魔录-青云	曹薇	41	0	1	5	141	2000	-1	-1	-1	-1	-1	-1	-1	-1
91	修真仙魔录-青云	陆浩宇	42	0	0	5	142	2000	-1	-1	-1	-1	-1	-1	-1	-1
92	修真仙魔录-青云	叶雪竹	43	0	1	5	143	2000	-1	-1	-1	-1	-1	-1	-1	-1
93	修真仙魔录-青云	皇甫文彦	44	0	0	5	144	2000	-1	-1	-1	-1	-1	-1	-1	-1
94	修真仙魔录-天音	宫沁儿	40	1	1	5	140	2000	-1	-1	-1	-1	-1	-1	-1	-1
95	修真仙魔录-天音	郑致远	40	1	0	5	141	2000	-1	-1	-1	-1	-1	-1	-1	-1
96	修真仙魔录-天音	林盈	40	1	1	5	142	2000	-1	-1	-1	-1	-1	-1	-1	-1
97	修真仙魔录-天音	廖如凡	40	1	0	5	143	2000	-1	-1	-1	-1	-1	-1	-1	-1
98	修真仙魔录-天音	温静儿	40	1	1	5	144	2000	-1	-1	-1	-1	-1	-1	-1	-1
99	修真仙魔录-鬼王	庞元春	40	2	0	5	140	2000	-1	-1	-1	-1	-1	-1	-1	-1
100	修真仙魔录-鬼王	秦从云	40	2	1	5	141	2000	-1	-1	-1	-1	-1	-1	-1	-1
101	修真仙魔录-鬼王	孙儒	40	2	0	5	142	2000	-1	-1	-1	-1	-1	-1	-1	-1
102	修真仙魔录-鬼王	冷樱	40	2	1	5	143	2000	-1	-1	-1	-1	-1	-1	-1	-1
103	修真仙魔录-鬼王	诸葛奉	40	2	0	5	144	2000	-1	-1	-1	-1	-1	-1	-1	-1
104	修真仙魔录-合欢	何妙	40	3	1	5	140	2000	-1	-1	-1	-1	-1	-1	-1	-1
105	修真仙魔录-合欢	纳兰屠苏	40	3	0	5	141	2000	-1	-1	-1	-1	-1	-1	-1	-1
106	修真仙魔录-合欢	项襄铃	40	3	1	5	142	2000	-1	-1	-1	-1	-1	-1	-1	-1
107	修真仙魔录-合欢	伯良	40	3	0	5	143	2000	-1	-1	-1	-1	-1	-1	-1	-1
108	修真仙魔录-合欢	轩辕雨柔	40	3	1	5	144	2000	-1	-1	-1	-1	-1	-1	-1	-1
361	幻月洞府-嗔恚魔-普通	嗔恚魔	0	0	0	5	3001	2000	0	1	7	8	9	10	11	12
362	幻月洞府-嫉妒魔-普通	嫉妒魔	0	0	0	5	3001	2000	0	2	7	8	9	10	11	12
363	幻月洞府-淫邪魔-普通	淫邪魔	0	0	0	5	3001	2000	0	3	7	8	9	10	11	12
364	幻月洞府-妄言魔-普通	妄言魔	0	0	0	5	3001	2000	0	4	7	8	9	10	11	12
365	幻月洞府-憍慢魔-普通	憍慢魔	0	0	0	5	3001	2000	0	5	7	8	9	10	11	12
374	幻月洞府-嗔恚魔-困难	嗔恚魔	0	0	0	5	3001	2000	1	1	107	108	109	110	111	112
375	幻月洞府-嫉妒魔-困难	嫉妒魔	0	0	0	5	3001	2000	1	2	107	108	109	110	111	112
376	幻月洞府-淫邪魔-困难	淫邪魔	0	0	0	5	3001	2000	1	3	107	108	109	110	111	112
377	幻月洞府-妄言魔-困难	妄言魔	0	0	0	5	3001	2000	1	4	107	108	109	110	111	112
378	幻月洞府-憍慢魔-困难	憍慢魔	0	0	0	5	3001	2000	1	5	107	108	109	110	111	112
387	幻月洞府-嗔恚魔-挑战	嗔恚魔	0	0	0	5	3001	2000	2	1	207	208	209	210	211	212
388	幻月洞府-嫉妒魔-挑战	嫉妒魔	0	0	0	5	3001	2000	2	2	207	208	209	210	211	212
389	幻月洞府-淫邪魔-挑战	淫邪魔	0	0	0	5	3001	2000	2	3	207	208	209	210	211	212
390	幻月洞府-妄言魔-挑战	妄言魔	0	0	0	5	3001	2000	2	4	207	208	209	210	211	212
391	幻月洞府-憍慢魔-挑战	憍慢魔	0	0	0	5	3001	2000	2	5	207	208	209	210	211	212
400	幻月洞府-嗔恚魔-飞升	嗔恚魔	0	0	0	5	3001	2000	3	1	307	308	309	310	311	312
401	幻月洞府-嫉妒魔-飞升	嫉妒魔	0	0	0	5	3001	2000	3	2	307	308	309	310	311	312
402	幻月洞府-淫邪魔-飞升	淫邪魔	0	0	0	5	3001	2000	3	3	307	308	309	310	311	312
403	幻月洞府-妄言魔-飞升	妄言魔	0	0	0	5	3001	2000	3	4	307	308	309	310	311	312
404	幻月洞府-憍慢魔-飞升	憍慢魔	0	0	0	5	3001	2000	3	5	307	308	309	310	311	312
