Id	Desc	Name	Atlas	Icon	Tips	ClassID	SubClassID	ThirdClassID	Quality	Color	MinLevelRequire	MaxLevelRequire	CanUse	BindType	CanSell	SellPrice	SellMoneyType	MaxStackSize	ProfessionRequire	SexReq	SortId	CompoundType	CompondLevel	HyperLinkColor	SoundID	ExistTime	DropIcon	DropScaling	DropEffectId	CanThrow	IsCanStorage	IsCanQianKunDai	QianKunDaiGroup	QianKunDaiLevel	IsCanBatchUse	IsNeedAddRemind	IsNeedUseRemind	MaxStorage	SupplyJuqiExp	ItemRmbVal	StallItemID	StallOtherClass	IsNeedSecPasswd
INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=10240;TableType=Hash;ProjectActive0=_GMSERVER_;																																											
#ID	（本列程序不读）	名称	图标所在Atlas	图标	描述	物品分类ID	次级分类ID	三级分类ID	品质[1无 2无 3无 4普通 5散仙 6真仙 7神魔]	颜色[1白 2绿 3蓝 4紫 5橙 6红 7金]	需求等级下限	需求等级上限	可以使用	绑定类型（0无1拾取绑定2装备绑定）	可以出售给NPC	卖出价格	卖出货币类型	最大堆叠数量	职业需求(-1无 0青云 1天音 2鬼王 3合欢)	性别需求（-1无 0男 1女）	排序显示ID	合成类别	合成级别	聊天栏名字颜色	音效	有效时间（单位分钟 配置上限一年即512640）	掉落显示图标	掉落图标比例	掉落特效	是否可以丢弃	是否可以放入仓库	是否可以放入乾坤袋参与合成	乾坤袋合成组	乾坤袋消耗级别 级别越低越优先消耗	是否可以批量使用	获得时是否需要弹提示	获得提醒是否要使用按钮（前提是物品可使用）	最大持有数量（无限制时填-1）（包含背包 仓库 装备槽位 系统商店回购槽位）	法宝聚气提供经验值	炼器、灌注的RMB值，没有填0	摆摊表ID	摆摊其他分类标志	丢弃卖店是否需要二级密码
1	测试用	Tru Tiên 	Icon	QuestionMark	Cảm tạ đối với ( Tru Tiên  · di động bản ) chống đỡ cùng ưu ái!	1	1	1	1	1	1	300	0	0	1	1	0	1	0	-1	1300	1	1	1	1	-1	DiaoLuo_QingYunWuQi	0.005	-1	1	1	0	-1	-1	1	0	1	-1	0	0	-1	0	0
2	测试用	Đại Lực Hoàn 	Icon	QuestionMark	Đại Lực Hoàn 	1	1	1	1	1	1	300	0	0	1	1	0	1	0	-1	1200	1	1	1	1	-1	DiaoLuo_HongYao	0.005	-1	1	1	0	-1	-1	1	0	1	-1	0	0	-1	0	0
3	测试用	Đả Tạo Đồ 	Icon	QuestionMark	Đả Tạo Đồ 	2	1	1	1	1	1	300	0	0	1	1	0	1	1	-1	1200	1	1	1	1	-1	DiaoLuo_DaZaoTu	0.005	-1	1	1	0	-1	-1	1	0	1	-1	0	0	-1	0	0
4	测试用	Khôi Giáp 	Icon	QuestionMark	Khôi Giáp 	1	2	1	1	1	1	300	0	0	1	1	0	1	1	-1	1200	1	1	1	1	-1	DiaoLuo_YiFu	0.005	-1	0	1	0	-1	-1	1	0	1	-1	0	0	-1	0	0
5	测试用	Bảo Thạch 	Icon	QuestionMark	Bảo Thạch 	3	1	1	1	1	1	300	0	0	1	1	0	1	1	-1	1200	1	1	1	1	-1	DiaoLuo_BaoShi	0.005	-1	0	1	0	-1	-1	1	0	1	-1	0	0	-1	0	0
6	测试用	Mỹ Nhân 	Icon	QuestionMark	Mỹ Nhân 	3	7	1	1	1	1	300	0	0	1	1	0	1	1	-1	1200	1	1	1	1	-1	DiaoLuo_ShiZhuang	0.005	-1	0	1	0	-1	-1	1	0	1	-1	0	0	-1	0	0
7	测试用	GM kiếm - thanh vân	Icon	QuestionMark	Thiếu hiệp, nguyện ngươi có một phần không hối nhân duyên	1	1	1	1	1	1	300	0	0	1	1	0	1	-1	-1	1200	1	1	1	1	-1	DiaoLuo_QingYunWuQi	0.005	-1	0	1	0	-1	-1	1	0	1	-1	0	0	-1	0	0
