Id	Desc	Name	Atlas	Icon	FakeObjId	NewModleId	NewFakeObjId	ClassId	Quality	CallLevel	CatchDesc	CatchRate	Astrology1	AstrologyWeight1	Astrology2	AstrologyWeight2	Astrology3	AstrologyWeight3	SpecialSkill1	SpecialSkill2	SpecialSkill3	SpecialSkill4	BornSkillId1	BornSkillRate1	BornSkillId2	BornSkillRate2	PaoPaoType	SoundId	StallFellowID	MainZzHighValue	GrowthRateHighValue	IsShow
INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	FLOAT	INT	INT	INT	INT	FLOAT	INT
#MAX_ID=40960;MAX_RECORD=8192;TableType=Hash;ProjectActive0=_GMSERVER_;																																
#ID	程序不读	名称	头像所在图集	头像	UI预览(FakeObject.txt)	变身后模型ID（CharModel.txt）	变身后FakeObj	类别(1普通 2(Hiếm))	品质（1-7）	出战等级	获取途径	捕获成功概率（支持三位小数）	星相索引1（FellowAstrology.txt表格ID）	星相1权重	星相索引2（FellowAstrology.txt表格ID）	星相2权重	星相索引3（FellowAstrology.txt表格ID）	星相3权重	特殊技能（填-1表示没有）	特殊技能（填-1表示没有）	特殊技能（填-1表示没有）	特殊技能（填-1表示没有）	自带技能ID1（填-1表示没有）	技能技能1概率（1表示百分百）	自带技能ID2（填-1表示没有）	技能技能2概率（1表示百分百）	泡泡类型	音效ID（对应Sounds.txt）	摆摊表ID	(Hiếm)宠物公告主资质标准	(Hiếm)宠物公告成长率标准	是否显示在图鉴界面
687	宠物-普通-顽猴-12级	TamNhãnLinhHầu	Icon	houzi	140	377	142	1	1	12	各职业场景捕捉	1	7	1	8	1	9	1	-1	-1	-1	-1	93301	1	-1	0	1	-1	687	2531	8.44	1
689	宠物-(Hiếm)-顽猴-12级	Linh_hầu(hiếm)	Icon	houzi	141	378	143	2	1	12	河阳城捕捉（1~10线）	0.5	19	1	20	1	21	1	-1	-1	-1	-1	93301	1	92901	1	3	-1	689	2531	8.44	1
1445	宠物-(Hiếm)-NấmTiênNhân（分享活动专用）	NấmTiênNhân	Icon	pet_moguxianren	283	963	336	2	1	12	分享活动获得	0.5	19	1	20	1	21	1	-1	-1	-1	-1	93301	1	-1	1	3	-1	-1	2531	8.44	1
2308	宠物-普通-蘑菇-1级（隐藏任务专用）	蓝瘦·香菇	IconPlusAtlas	lanmogu	388	960	388	2	1	12	隐藏任务获得	0.5	19	1	20	1	21	1	-1	-1	-1	-1	93301	1	-1	1	3	-1	-1	2531	8.44	1
691	宠物-普通-广寒Thỏ-35级	广寒Thỏ	Icon	pet_tuzi	144	379	146	1	1	35	空桑山捕捉	0.6	40	1	41	1	42	1	-1	-1	-1	-1	92401	1	-1	0	2	-1	691	2531	8.44	1
693	宠物-(Hiếm)-广寒Thỏ-35级	(Hiếm)Thỏ	Icon	pet_tuzi	145	380	147	2	1	35	小池镇捕捉（1~10线）	0.4	52	1	53	1	54	1	-1	-1	-1	-1	92401	1	94501	1	2	-1	693	2531	8.44	1
711	宠物-普通-花魅公主-50级	花魅公主	Icon	pet_huajing	164	389	166	1	1	50	流波山捕捉	0.5	61	1	62	1	63	1	-1	-1	-1	-1	91501	1	-1	0	4	-1	711	2531	8.44	1
