Id	Desc	Class	Type	TitleName	TitleDesc	Prioirity	Color	OwnerTime	BroadCastDic	AttrId
INT	STRING	INT	INT	STRING	STRING	INT	STRING	INT	STRING	INT
#MAX_ID=9999;MAX_RECORD=500;
#ID	描述(程序不读)	分类（0系统_1自定义）	称号类型（对应TitleType表 目前支持8个自定义 32个系统 顺序无所谓）	称号名	称号描述	显示优先级	颜色	拥有时间(单位:分钟)	广播字典号	属性ID
1	炼器初级称号	0	8	<luyện_khí_học_đồ>	Luyện_khí_điểm_đến_200_thì_thu_được_một[33cc66]	-1	-1	-1
2	炼器中级称号	0	8	<luyện_khí_chuyên_gia>	Luyện khí điểm đến 10000 thì thu được	2	[33ccff]	-1	-1	-1
3	炼器高级称号	0	8	<luyện_khí_đại_sư>	Luyện khí điểm đến 45000 thì thu được	3	[cc66ff]	-1	-1	-1
4	PK称号	0	10	<cùng_hung_cực_ác>	Luy kế giết người mấy đạt đến 100 thì thu được	1	[33cc66]	-1	-1	-1
5	PK称号	0	10	<hung_thần_ác_sát>	Luy kế giết người mấy đạt đến 500 thì thu được	2	[33ccff]	-1	-1	-1
6	PK称号	0	10	<không_chuyện_ác_nào_không_làm>	Luy kế giết người mấy đạt đến 1000 thì thu được	3	[cc66ff]	-1	-1	-1
7	PK称号	0	10	<tội_ác_đầy_trời>	Luy kế giết người mấy đạt đến 10000 thì thu được	4	[ff9933]	-1	-1	-1
8	结婚称号	1	7	<{0}_tướng_công>	Sau khi kết hôn thu được	1	[ed51aa]	-1	-1	-1
9	结婚称号	1	7	<{0}_nương_tử>	Sau khi kết hôn thu được	1	[ed51aa]	-1	-1	-1
10	帮主称号	1	6	<{0}_bang_chủ>	Sáng tạo bang phái hoặc trở thành bang chủ sau thu được	1	[33ccff]	-1	-1	-1
11	帮众称号	1	6	<{0}_thành_viên>	Gia nhập bang phái thu được tên gọi	1	[33ccff]	-1	-1	-1
12	排行榜-等级	0	12	<vô_địch_thiên_hạ>	Đẳng cấp bảng xếp hạng người thứ nhất	4	[ff9933]	1440	-1	-1
13	排行榜-等级	0	12	<một_đại_tông_sư>	Đẳng cấp bảng xếp hạng người thứ hai	3	[cc66ff]	1440	-1	-1
14	排行榜-等级	0	12	<danh_chấn_giang_hồ>	Đẳng cấp bảng xếp hạng người thứ ba	2	[33ccff]	1440	-1	-1
15	排行榜-等级	0	12	<khó_gặp_đối_thủ>	Đẳng cấp bảng xếp hạng đệ tứ đến một trăm tên	1	[33cc66]	1440	-1	-1
16	排行榜-道法	0	13	<xuất_thần_nhập_hóa>	Đạo pháp bảng xếp hạng người thứ nhất	4	[ff9933]	1440	-1	-1
17	排行榜-道法	0	13	<siêu_phàm_nhập_thánh>	Đạo pháp bảng xếp hạng người thứ hai	3	[cc66ff]	1440	-1	-1
18	排行榜-道法	0	13	<thoát_thai_hoán_cốt>	Đạo pháp bảng xếp hạng người thứ ba	2	[33ccff]	1440	-1	-1
19	排行榜-道法	0	13	<xương_cốt_thanh_kỳ>	Đạo pháp bảng xếp hạng đệ tứ đến một trăm tên	1	[33cc66]	1440	-1	-1
20	排行榜-宠物	0	14	<vạn_thú_chi_tổ>	Sủng vật bảng xếp hạng người thứ nhất	4	[ff9933]	1440	-1	-1
21	排行榜-宠物	0	14	<thượng_cổ_thần_thú>	Sủng vật bảng xếp hạng người thứ hai	3	[cc66ff]	1440	-1	-1
22	排行榜-宠物	0	14	<thông_linh_tiên_thú>	Sủng vật bảng xếp hạng người thứ ba	2	[33ccff]	1440	-1	-1
23	排行榜-宠物	0	14	<vua_bách_thú>	Sủng vật bảng xếp hạng đệ tứ đến một trăm tên	1	[33cc66]	1440	-1	-1
28	排行榜-攻击	0	16	<khai_thiên_tích_địa>	C.Kích bảng xếp hạng người thứ nhất	4	[ff9933]	1440	-1	-1
